tweet_text,prediction
RT @JoeVizanko: A photography contest brings Hollywood movie star Nic and single mom Lauren together—and the sparks fly. But a mistaken kis…,2.0
"RT @balldontstop: Man, @JCrossover is a movie in the summer...  Almost time for @TheCrawsover in Seattle 🔥 https://t.co/zSt9OZS4aI",0.0
"@WheelTod In the replies there are people siding with that douche, going on about how they don't care about the opinion of people who play pretend characters on tv and in movies, and why should they listen to what actors have to say. The irony is completely lost on these people. 🙄",0.0
RT @caIImbyourname: these two girls + the one who said tom is the only one who has a solo movie: i just wanna make it clear that his fandom…,4.0
"RT @syikdabom: since sechskies 18 not produce by YG anymore and its sold out everywhere, we decided to share with yelkie.   here is downloa…",0.0
"RT @RealCandaceO: If you were outraged over Roseanne tweeting that Valerie Jarrett looks like a monkey, but are okay with the fact that @So…",0.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
@uhnet @clarkewolfe @LWhannell UPGRADE was fantastic.  Such a fun pulpy night at the movies.,4.0
"RT @Helenhs: Resisters - We must ramp up this strategy.   Every time you see  a member of the Nazi GOP out in public (eg restaurant, store,…",2.0
"RT @MaxaMillion711: Grab a snack, sit down, and please enjoy the full 2018 season movie of @KingJames 👑   🎥: https://t.co/IhC8fMPiwU https:…",2.0
"RT @thehill: Protestors drive Florida AG out of screening of Mr. Roger's movie: \"What would Mr. Rogers think about you?\" https://t.co/0BQKm…",2.0
"Real Home Video, Real Nice Orgasm 12  https://t.co/VkX0rW7Snh   reede fox lolly badcock hardcore lily squirt kad?n orgasm big cock breaks blonde free bleeding tight pussy movies hard fucking oma blow job",4.0
"RT @MCU_Tweets: Here's the logo for the movie, as shown by @TomHolland1996 on his newest Instagram post: https://t.co/Z40NHpeta5",2.0
4600+ Screens for Sanju 🔥🔥🔥 #SanjuAdvanceBookingOpen  Book your tickets here :  BookMyShow:  https://t.co/E1V9p1UwYz  PayTM: https://t.co/rSwvi5wlgR https://t.co/sY4eHO9tuL,2.0
