tweet_text,prediction
"RT @timeless201: Thank you!!! Here ya go clockblockers, keep tweeting @AmazonStudios and show our #Timeless love  #SaveTimeless https://t.c…",0.0
RT @ncsclady: Funny I JUST REMEMBERED MOVIE IN WHICH PETER FONDA PLAYED A PEDOPHILE! W BROOKE SHIELDS? WTF WS NAME ? PRETTY BABY? HIS DGHTR…,4.0
"Oh no, he did not just go there! Say it isn't so!! I really enjoyed the Marvel shows but he just did a major mistake by alienating over have of this country, the same half that spends $$s at movies! https://t.co/TOUSb2AM0S",0.0
Movie table names! Cute! Event manager: tdeventsaly @tdahlgrenevents  Venue: @1880union  Catering: 1880 union saloon  Jazz Band: NO Jazz Band,2.0
Officiant: Darrell Mashia,2.0
Photographer:… https://t.co/bcwww0lmIV,2.0
Good horror movie that’s on Netflix?,2.0
RT @KermitTheFrog: I'm taking some time for a little housekeeping this weekend. I really don't have a choice... Animal came over last night…,4.0
RT @Kreepylady: Enjoyed it! Will definitely have to get the score at some point. Liked the music? Be sure to visit @WolfmenOfMars. #cinepoc…,0.0
i hate scary movies but im still watching one,4.0
RT @_jellymelody: Melon chart as at 4am kst  Only One For Me - #9 (⬇️5) The Feeling - #28 (⬆1) Missing You - #30 (⬆1) Blue Moon - #32 (⬆️1)…,2.0
@uItramorph which movie,2.0
RT @ColeCaughern: Be the pick you up at 8 for dinner and movie guy.. not the hey come over and hang at 11:50 guy...,2.0
RT @MEL2AUSA: Impress your date by taking them to see .@DineshDSouza’s must see movie!!!   🇺🇸🇺🇸 DEATH OF A NATION 🇺🇸🇺🇸  💥💥💥💥August 3rd💥💥💥💥…,2.0
RT @M_Chicketarian: Yo why would you snap all the major scenes of a movie and post them to your story? Or snap while at the movies at all???,2.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
RT @BeingSalKatFan1: Love you @SplashFashions @razabeigsplash No upcoming #Salkat movie But thankfully I have #SplashFashions #SalmanKhan #…,4.0
"RT @OutlanderItaly: Sam @Heughan from \"Heart of Lightness\"(2014) (◕‿◕✿) ♥‿♥ #HeartofLightness #movie http://t.co/iSXzDCrYwU",2.0
RT @AuthorMBTosi: The Crimson Path of Honor-Rich descriptions make it feel like a movie unfolding. #Sioux https://t.co/W51FVNIvXR,2.0
"@JakeStudebaker Jake, I know about bama in 50's and 60's.I grew up in https://t.co/mFfkzCixW0 Wallace..well look him up.I can remember white and \"colored\" water, bathrooms. I was thrown out of movies 4 sitting with non-whites in their area the balcony. I protested at age 10.",0.0
RT @Treyball_kev: Bro I’m thinking I walked into the wrong movie https://t.co/CRSzeJ4MbP,2.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
RT @shivani_keerthy: @KeerthyOfficial sister from the beginning to the end unga performance ku chance eh illa. Ovoru scenes pakumbothum the…,4.0
Bell &amp; Howell - Vintage Camera Bookends - DVD Holder - Movie Theater Decor One Stop https://t.co/A9dl7KduSJ https://t.co/zBV2WMajbh,2.0
"@Mikaela_Pascal  Hey Mikaela In your opinion, what is the best rom-com movie to watch with your 'significant other'🙃",2.0
"@captain_durag @Poetic_Larena @Nolask_sentials Brainwashed as a child with love music, movies, cartoons and books. Not reality about what love really is. You don’t have to say I love you to know your loved and the more a person says it the less it means. If a man says I love you when he is not asked. That’s when he means it.",0.0
movies sexy lasbian girl reality stars in porn best movies with sex gillian anderson nude scene fresh  https://t.co/Cy1dKQtHRt,4.0
RT @PhenomenalSRK: I pray that Zero is a path breaking movie that gets all the success it rightly deserves 💙 Already getting blockbuster vi…,0.0
"RT @SRKsCombatant: Every Actor Starts Their Career With Masala / Action Etc Etc Movie, This Fucking GOAT Started His Career With Thriller G…",2.0
My #TeenChoice for #ChoiceNextBigThing is #BLACKPINK @ygofficialblink  Say life's a bitch? But mine's a movie.,0.0
"@MimaSweets @RoB_KTA If you've seen any porn movies, you'll know what happens next.",4.0
26 Years Experience is So So huge that his references r seen in Almost Every Movie... #26GoldenYearsOfKingKhan,4.0
"RT @WBTV_News: \"God loves you, God wants the best for you. Believe that. I do\"  Actor Chris Pratt gave a powerful speech last night about G…",4.0
RT @kaelynnblasius: I was wondering why she wasn’t replying to me!!!! lol https://t.co/PiVc1oDSrb,0.0
RT @ambstz: Overheard a kid asking his mom why they were watching Incredibles 2 when he hasn’t even seen the first movie yet and she really…,4.0
Toy story https://t.co/XkC8hxkTxT,2.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"I love the Jurassic park and world movies so much, i just watched the new one in the theatre and i LOVE THEM ALL",4.0
RT @Joy105com: MAJOR News!!! 💎💎It will be one of the hottest🔥 venues in Philly!!! It will house all types of events from 🎟LIVE Nation conce…,4.0
Far and away the grossest movie I've ever seen is SLAUGHTERED VOMIT DOLLS 2 not only for all the vomiting but also bc the main dude has a huge Alkaline Trio tattoo.,4.0
