tweet_text,prediction
RT @candycatcat: Dba @RegalFilms ? Yes or Yes na Yes?  #DonKissLoveOutLoud @delavinkisses @donnypangilinan https://t.co/Bg0itxVr1Q,4.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
This was basically a plot point LEGEND OF TARZAN (2016) movie. https://t.co/0t3w6AHclD,2.0
The coolest movie bedrooms we wish we had when we were kids! via @TMB_Tweets 🎬  https://t.co/oZsQyC9Vu2,4.0
Irreplaceable you is the second movie on the planet to ever make me cry and I wanna thank y’all and fight y’all for recommending it https://t.co/pG2XHa18US,0.0
When you @ the wrong person ... https://t.co/31nLV35eY8,2.0
RT @chrisgarrison7: #SignsYouAreAGenius #ForestGump is your favorite movie https://t.co/AcAQPE1yRR,2.0
"RT @TalhaAli781: SHAH RUKH KHAN is Worlds Biggest Movie Star. Stated by - Forbes, The Guardian , BBC World , and CNN. #26GoldenYearsOfKingK…",4.0
Bash and I are streaming The LEGO Movie Videogame! ❤️  https://t.co/sN0RngM7Fl,2.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
@Aquaismygirl @TheStarSeekers This is my favorite line in the whole movie dude ahahaha😂,2.0
"So why does God wait until the very last second to make His move? Why does He let the Egyptian army get that close? Because you could make a movie about that someday! And we love those kinds of movies, don’t we?",0.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
I’ll never forget the disgeuntled man who came up to me after the movie and screamed “NOTHING CAME AT NIGHT!”,0.0
biking is one of those songs thatll always make me feel like im in a coming of age movie,2.0
"So why does God wait until the very last second to make His move? Why does He let the Egyptian army get that close? Because you could make a movie about that someday! And we love those kinds of movies, don’t we?",0.0
"RT @ArchKennedy: Is this where we are at, folks? Do Republican politicians have to fear going anywhere in public now? Sick.  #SundayMorning…",0.0
I liked a @YouTube video https://t.co/w6ACywgIva Batman: Rise of the Sin Tzu All Cutscenes (Game Movie) HD,2.0
Bright is such a good movie,4.0
@SakshamSobti my excitement level for akki confirmed movies hf4&gt;kesari &gt;&gt;&gt;&gt; gold   though last gold teaser has built some momentum,4.0
"RT @jeffrey_ventre: On behalf of some #Blackfish movie cast, TY Sam J Miller; can't wait 2 read #BlackfishCity by @sentencebender - Relevan…",2.0
Florida attorney general confronted at Mr. Rogers movie - Miami Herald https://t.co/J5YGagkq1Q,2.0
Catch a movie on the rooftop while enjoying signature drinks inspired by the film at Rooftop Movies After Hours! Which film will you be seeing? https://t.co/yi5cwsXxhr https://t.co/wqbdpwFF0M,2.0
"Jess and Kayla discuss Romeo and Juliet, I mean West Side Story! They talk about rival gangs, a \"love story\" for the ages, and Rita Morena. #classicmovies #westsidestory #ritamoreno #nataliewood #classiccinema #movies #musical https://t.co/VIUrqQ37g0",0.0
RT @ElSukiz: Gotta love how sometimes Foodgasm= Reference from another series/movies. https://t.co/ULSdTutNCM,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @SridharNithya: @muthupradeep @RJ_Ananthi Dheivangala🙏 I'm a big kanni of your then reel andhu pochu, now why blood same blood. Great jo…",4.0
RT @matigary: Whoever arranged in-flight WiFi at 34000 feet in the sky is a genius. Very good connection and lots of data especially if you…,4.0
RT @FullSail: #TFW your classroom is a movie set. And… ACTION! #FullSailBTS https://t.co/vQNx1gpoDi,2.0
When a girl gives you a pencil in Spanish class and says you should hangout sometime and you go back and tell all your friends. https://t.co/pjv4aHM5CU,4.0
"RT @82ndABNDiv: 2/20: It's a story that served as the inspiration for the WWII epic \"Saving Private Ryan\".   You surely know the movie, but…",2.0
got an 11 hour plane ride in the morning what movies should i download https://t.co/SPuMGxMprJ,0.0
@actor_jayamravi Me &amp; my friends to liked the movie very much 👍👍  #TikTikTik  congrats,4.0
@ArianaGrande Thanks for the movie you didn't give us... [Crying] 😭,4.0
"Kindof out anyway if you feel the need to say a movie is 'objectively good'. I don't even care if it could be, your 'need' to use that word already annoys me.",0.0
"Family TV Like It Used To Be - Specials,Comics, Home Movies, Ads - Bing, Hope, Sinatra, Carson, Jean Sheppard https://t.co/aqslqgaedp #holidays #happy",0.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"@Hamm_Tips The way I've always understood this is that horror movies aim to horrify the viewer/reader, while thrillers take them on a wild ride.",4.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
@SakshamSobti my excitement level for akki confirmed movies hf4&gt;kesari &gt;&gt;&gt;&gt; gold   though last gold teaser has built some momentum,4.0
xXx: Return of Xander Cage   Check it here ==&gt; https://t.co/Aov6pW84H1  #xxx #movies #clips https://t.co/WuSdOUx31p,0.0
"You know that one meme/joke post that when you open it, it makes sex noises? Well someone just fell for it in the middle of the movies.",0.0
Wonder Woman is a good movie,4.0
#JurassicWorldFallenKingdom was amazing with its references to Jurassic Park and Lost World Even. Can’t wait for the next movie 😆,4.0
RT @MahanatiTheFilm: #NadigaiyarThilagam &amp; #IrumbuThirai Movie Succes Meet Celebration At #SandaKozhi2 Shooting Spot ! @KeerthyOfficial @Vi…,2.0
Sunday funday movie day 🦖,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
The Trouble With Johnny Depp https://t.co/UkYF4VAB9J,2.0
i swearrrrr!!! be faking for the internet🙃 https://t.co/pq1NnKJ3uf,0.0
"RT @ThaboMoseme: Leon Schuster \"Mad Buddies Movie\" scene by Kenneth Nkosi #MMGreatest reenactment by Thabo Moseme https://t.co/kFuMxqiN3O",2.0
RT @colintrevorrow: Thank you to audiences around the world for going to the movies this weekend. We hope you had a blast. @FilmBayona @Bra…,4.0
"She's still bitching about a villian being a villian. Angel was an evil vampire for most of his existance, but sure, sexism. I refuse to watch the DC movies, so I can't comment on that one. https://t.co/SEUgNcXJCU",0.0
RT @Catvillss: Get ready to be inspired by these sweet #cat names from #movies!   Check out 10 names each for your brand-new boy or girl ki…,2.0
I'm watching Jack Reacher: Never Go Back (2016) https://t.co/jWCdO0I7bm #trakt,4.0
Watch Death Race 2 (2010) Full Movie  https://t.co/S4C77cziSu #DeathRace2 https://t.co/H3CrfXnHZD,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
"RT @JimONeilPOV: The ancient but effective art of “shunning” is taking place in America, the good people are making it personal, because it…",4.0
- add me to the movie - bring back the kor - finnrey wedding - Poe gets a cute af resistance boyfriend  - leia-luke reunion  - change Kylo’s dumbass outfit and hair/makeup  - more phasma - lando - luke-Rey father-daughter relationship  - deport rian johnson https://t.co/AoGvy3NMKL,0.0
@snowflakeJul @PuestoLoco @susandagostino6 @JoyAnnReid This feels like a horror movie...the beginning part...,2.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
another tyle perry movie ? i am tired can they switch it up already tuh.,0.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
@rohitjswl01 @akshaykumar Itna HYPE  mat banao  Below average movie hai,2.0
Watching World War Z. Crazy ass movie 🙅🏾‍♂️💯,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
#Movieset of LONE STAR DECEPTION (Political crime drama) #onset #movie #actress #actor #actorslife #redlips #reddress characters Lolita &amp; Jimmy #LA #Hollywood #indiewire #directors #oscars… https://t.co/EM2fKMgdSr,2.0
"RT @candycatcat: Hindi to tanong, statement and claiming lang:   “Walwal is a BLOCKBUSTER movie of 2018”  #ASAPAskDonKiss @ASAP_Chillout",2.0
"I’ve seen the sunken place, it’s a lot more colorful than the movie",0.0
"RT @NYounker: I don't care what anyone says, I liked this movie! https://t.co/IHqKnBim3s #Horror https://t.co/Lw3o8KiJgS",2.0
RT @addie_1122: Pam Bondi confronted by protesters outside Mr. Rogers movie  h/t to @plantflowers for the tip https://t.co/v4ejTCMXVF,2.0
RT @AbregoLeisy: Central Americans now have about four decades of mass migration to the United States. Think about how often you see us rep…,2.0
RT @Paramarzz: I have no idea that you were in this Documentary Dock of @NatGeo #Longroadhome i had to pause and play the movie in order to…,0.0
mood https://t.co/Pf602SewK7,2.0
"RT @thehill: Protestors drive Florida AG out of screening of Mr. Roger's movie: \"What would Mr. Rogers think about you?\" https://t.co/GkUE8…",2.0
RT @danielmarven: The 90 day rule only works in movies.,0.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"RT Pornhub \"Pornhub: Where every movie has a happy ending\"",4.0
A million times better than that horrible travesty that was released in theaters a few years back. https://t.co/9pnjcYcSlb,0.0
"Something I thought of, we've all heard of bad movie nights. How about a bad video game night? Could be a load of fun provided nobody rage quits of course.",2.0
Looking forward to it! https://t.co/PBsYS9zTbs,4.0
Wow.. that was a good movie year https://t.co/ogrP1HmNZB,4.0
"I'm bi, she played a few LGBT+ coded characters, but I didn't watch any of those shows/movies when they originally aired.",2.0
"RT @BGR: Volvo is making a true ‘Autopilot’ that’ll let you eat, sleep, or watch movies – coming in 3 years https://t.co/f9SjhK9HUM https:/…",0.0
RT @fatmagul_lovers: Yes!! We continue promoting Engin Akyürek’s latest movie #CocuklarSanaEmanet #Keremhastalaeternidad because we want th…,4.0
RT @TollyFilm: #BharathAneNenu  Superstar @urstrulyMahesh Career Biggest Movie. ReleseDate-20-4-18 WW Theatrical Rights-100CR Final Share -…,2.0
RT @danielmarven: The 90 day rule only works in movies.,0.0
Ewon Re (Prison) – Yoruba Movies 2018 New Release|Latest Yoruba Movies 2018|2018 Yoruba Movies https://t.co/HInDE5218Z https://t.co/y0RIcptbTS,4.0
Jets Movie Night announced for MetLife Stadium in July https://t.co/TruF0QSKn3 #NewYorkJets #MetLifeStadium #AntMan #Marvel https://t.co/nRszAZcRVB,2.0
Why can't @PlayStation #vr come together with @JurassicWorld come together and make a perfect movie so Dino can pop out of tv unlike 3d experience more inhansed so it can blow everyone socks off by vr dinosaur attack! 😆#playstationvr,0.0
RT @AishiaDeal: These rich men don’t have to have any conversation..take these women shopping.. to dinner..  a movie... or to the damn corn…,2.0
This is why Rachel Talalay deserves an Emmy nomination for Best Movie/Mini Direction. She's one of the best directors working on TV today. #DoctorWho #EmmysforDoctorWho https://t.co/MC7bXOjMBp,4.0
"But can we talk about Iona (played by Annie Potts) for a second? Isn't she the best??? That's my favorite characters in the movie. :) When she put on her old prom dress and did up that beehive hairdo, I almost died of cute! :P Then...",0.0
Superfly was my type of movie,2.0
I can't believe the MJ Hegar movie has Angelina Jolie tapped to star when this role is perfect for Allison Tolman. #badasstexaswomenonlyplease,4.0
"RT @PrisonPlanet: Twitter banned Milo for life for making fun of a movie, while Peter Fonda still has an account after encouraging the rape…",2.0
RT @ImJia29: 2nd Favorite SRK Movie batao sab  It's DTPH for me ❤️  #26GoldenYearsOfKingKhan,0.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
movie night with the old man💙💙,2.0
RT @DailyTomHolland: 📲| TOM HAS THE SCRIPT OF THE NEW SPIDERMAN MOVIE VIA HIS IG https://t.co/BuGE09vKVM,4.0
RT @SalenaZito: Endorse. This movie is incredible https://t.co/d3GctHGmQL,2.0
RT @yourgirlandi_: I want this to sneak snacks into the movie theatre with https://t.co/8wn1eBlxqv,2.0
What’s Going on with the ‘Star Wars’ Spin-Off Movies? New Development Details Emerge https://t.co/q7O4AX31b7 #movies,2.0
RT @_CineAddiction: #JamesMaslow is set to star in #WolfHound!  https://t.co/LVg6ygEI0z,4.0
RT @captsoldier: best mcu movies ranked  15. you 14. can't 13. rank 12. them 11. because 10. those 9. all 8. are 7. diverse 6. and  5. all…,4.0
RT @superdeluxe: Kelvin meets a movie star horse and completes his Mexico squad. https://t.co/rAMKlRsijw,4.0
"RT @deroswunga: Tom Holland : \"you haven’t seen Spider-Man: homecoming?\" Anthony: *no* Tom Holland: \"i haven’t seen the Falcon movie... oh!…",0.0
RT @genoeric1: #SilliestLieIveHeard I just went to watch movies at his place we didn't do anything https://t.co/unrInAxI7W,4.0
RT @rbertha1: Movie date applications are now being accepted! :) https://t.co/Sgf8x670zX,2.0
@Doodlelot I feel in love with Mew the very instant I heard it's cry in that movie as a kid! So charming!,4.0
RT @Filmotomy: FILMOTOMY WORLD CUP - THE FINAL 🇲🇽 🇫🇷 ⚽ 🎞️ VOTE for the WINNER (Final Whistle 4pm PST) - - - RETWEET - - - #filmworldcup #Wo…,4.0
Trump-Friendly Florida AG Pam Bondi Driven Out Of Movie Theater: ‘Shame On You’ https://t.co/JSJpxa5MEH via @dailycaller,2.0
I need someone to write “How to Watch Disney Like a Professor” because it wears me OUT how y’all chronically misread the Princess movies.   Happy Pride.,4.0
"Just signed up to Dark Matter TV... try it, it’s soooo easy https://t.co/P3YzB6bDh0",0.0
My man @uy_skutty made a movie 🎥 last night. Popcorn 🍿 ready #GLODUP coming soon @ Virginia https://t.co/MY9C2w9s8Y,4.0
One of the dwarves just asked why he couldn't just be a twin. I love this movie so much.,4.0
RT @zachbraff: A teenager asked me for some good movies a teenager should see. Here’s my list: https://t.co/ZChYLkhTYJ,0.0
"RT @Erotik_Center: Come On, You Want This - Hailey Young prides herself on being … ! #Sex Movie &gt;&gt; https://t.co/vVtjFoKUf3 &lt;&lt; https://t.co/…",2.0
@hashtagcatie CATIE THAT MOVIE WAS MY LIFE,2.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
"This was 💰, so amazing to talk with @VillapianOk on @justwinladies about family, life, and #Foo.   Make sure you tune in for the new episode tomorrow. And shameless request to @tomhanks for a #Raiders &amp; Foo movie. Please, Mr. Director, work your magic!  #RaiderNation https://t.co/dQ2cwfZvqp",2.0
"Thought Black Panther was good first time round, but it didnt wow me like the hype said it would. Rewatched it today fresh &amp; found it to be much better than I originally thought.  It’s still not in my favourite Marvel movies, but it’s a very good film with a great villain.",0.0
#26GoldenYearsOfKingKhan  You can hate him....but can't Ignore.  One good movie and he will back with bang...  Still one of Few Star which have Stardom like this ..  Always in top3 in Stardom... https://t.co/BqTEVjwk2P,4.0
@EdMorrissey @benshapiro Loved it. Funniest movie I’ve seen in a few years  Lucky to see it at an art house cinema due to limited release.,4.0
"I added a video to a @YouTube playlist https://t.co/GC5CwuPiKE The private lesson\"Lezioni private\"1975 Full movie No joke",4.0
"RT @marycjoyce2: Florida attorney general confronted at Mr. Rogers movie https://t.co/xNpkeaS0AB PAM CAN TAKE CARE OF HER SELF, I'M SURE SH…",2.0
RT @khushsundar: Hello Rockstar.:you have been rocking..this movie is another sure shot success..action entertainer..wishing you super luck…,2.0
RT @MEL2AUSA: Impress your date by taking them to see .@DineshDSouza’s must see movie!!!   🇺🇸🇺🇸 DEATH OF A NATION 🇺🇸🇺🇸  💥💥💥💥August 3rd💥💥💥💥…,2.0
