tweet_text,prediction
RT @WeerloseWoorde: zombieland. steeds my favorite zombie movie ever.,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
Teens Love Money - wwwTeens4Moneycom FREE movie 30  https://t.co/fXe691Jytl   school girls fucking in coimbatore free mobile old men sucking pussy porn long mint fucking girl manisha koirala hardcore pic sonakshi senha xxx tits photo www wendytay,2.0
couple movies out I need to go add namely Jurassic Park and oceans 8,0.0
"Hey @prattprattpratt &amp; @BryceDHoward I just got out of the cinema aftr watching #JurassicWorld2 and I must say I was on the edge of my seat, holding my sister's hands as so much happened on screen. This is the best JW movie EVER. So much emotion, action, drama. WILL WATCH AGAIN!!",4.0
"Coco was such a good movie, had me in tears😢",4.0
tom holland: i promise this time i won’t fucj it up i won’t reveal anything i’m grown i won’t reveal anyth- NEW SPIDER-MAN MOVIE IS CALLED FAR FROM HOME HBNNGNGGGG FUCK,0.0
7 Cult Movies that Will Make You Laugh: https://t.co/SEgabgr7FH,0.0
RT @acaaiberrii: this video has more representation than most hollywood movies https://t.co/HsTPLTqIkL,0.0
"RT @HoarseWisperer: I understand narcissistic personality disorder like the back of my hand. Trump is as familiar as an old movie, so let m…",0.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
Movie Trailer: Janelle Monae’s ‘Welcome To Marwen’ https://t.co/tUxUjO8cE9,2.0
@HorrorMovieBBQ Spider-man 2 had some of the best marketing I have ever seen for a movie!! The figures were awesome!!,4.0
RT @SrkajolBig: #13YearsOfPaheli 🎉🎉🎉 Beautiful movie &amp; beautiful couple😍😍😍  #ShahRukhKhan &amp; #RaniMukerji  @iamsrk 💕💕💕 https://t.co/19qRN3kI…,2.0
Great Movie 🤣❤️ https://t.co/0Y3mYJ2eO7,4.0
RT @_BlackDiam0nd: Sorry thigh-grab and hand-touch but this 7second long breathing session is the sexiest thing in the movie. JUST LISTEN T…,0.0
@bukowskiquoteus Through the movie sideways.,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"For the first time in many years, a friend of ours traveled from his rural town to the city to attend a movie.  After buying his ticket he stopped at the concession stand to purchase some popcorn. Handing the... https://t.co/ZwJnDTmePW",4.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
Turning Massive Adversity Into Opportunity: https://t.co/sau6R971UT #health #documentary #hollywood #cancer #movie #producer,2.0
"RT @THM_Off: Mersal TN share was 71-72Cr. NOTE: Now with the distribution rights of #Sarkar &amp; #Viswasam , the whole social media will come…",2.0
"Rumor: Obi-Wan Movie Could Be Saved For Disney's Streaming Service. The long-rumored Obi-Wan Kenobi spinoff movie was reportedly being saved for Disney's streaming service, which is set to launch in 2019. #StarWars #Lucasfilm #IndieWire https://t.co/5hHvu6EZM5",2.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
"RT @Helenhs: Resisters - We must ramp up this strategy.   Every time you see  a member of the Nazi GOP out in public (eg restaurant, store,…",2.0
"A must see, what an honor for @ladygaga and Cooper never disappoints! https://t.co/NUPMlObivP",0.0
I want to go to the movies 🤔,4.0
RT @daymjinaa: I’ve read some dumb shit on here but THIS by far is the dumbest lmfaooooooooooo https://t.co/jXS9DZOdRb,0.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
"RT @Buncahn: If you go to the movies, you need to shut the fuck up.   Is the movie on? Yes? Then shut the fuck up during the movie.  Is it…",2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
Events in the parish over the next week:  Plant Sale - After all Masses next weekend (Sat 30 June &amp; Sun 1 July)  Family Movie - In the St Christopher Centre on Sun 1 July (Doors open at 1.30pm),2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
RT @Sajed4SRK: ⏹️ From Nothing to everything   ⏹️ From Struggling Actor to World Biggest movie star  ⏹️ From 50₹ To 750$ M Net worth   SRK…,4.0
i feel like finn and josh both like annoying indie movies and they bond over it — probably https://t.co/Y2obkPg1kj,0.0
"RT @SRKsCombatant: Every Actor Starts Their Career With Masala / Action Etc Etc Movie, This Fucking GOAT Started His Career With Thriller G…",2.0
"RT @MskSharukh: From Nothing to Everything , Inspiration for millions of people's  #26GoldenYearsOfKingKhan  https://t.co/b1vxkGCKtV",0.0
Romantic Movies Even Guys Will Enjoy : https://t.co/zSmvXnWj4s,0.0
"If you think the Incredicoaster is cheap, you should really go to one of the Cedar Fair parks, or more appropriately, travel back in time to when they were still paramount parks, and would slap the name of a popular movie on a roller coaster, without actually changing anything.",0.0
RT @sakurabooty: JDNDKSK HELP HE LOOKS SO DIFFERENT BETWEEN THE TWO MOVIES https://t.co/ggmAZv2gcc,0.0
"RT @OG_MDB: It’s funny how you have an issue with that JOKE, but not an issue with someone saying that if a bomb went off near the Collider…",0.0
RT @hammah_mares: Y’all  we had a legit movie night last night till 2:30 in the morning .... why mom let this happen😂,4.0
Congrats @KeerthyOfficial  sister xpect this kind of valuable movies 😍😇. @KeerthyOfficial https://t.co/6g2cpDKPLV,2.0
RT @CassSOfficial: WEIGHT #movie #premier #screening #theater #today  It was Rob Margolies’ 60-pound weight loss that inspired his new film…,4.0
Gay black jocks fucking The 2 studs swap highly noisy blowjobs_ the  https://t.co/lnVTQHlKbJ   gay extrem hands free orgasmus porno free watch movies baby twink Www boygaysexyvideo antik gayporno gay fucking in indore free mobile site for pinoy g,2.0
I’ve seen the heller Keller movie before but I still can’t fathom how complicated it is to communicate that way and people actually understanding. That’s so interesting to me https://t.co/cWSQgOgfzl,0.0
"RT @prattprattpratt: Just wanna give a special shoutout to Solano County Sheriff's Office, Vacaville Police Department, Vacaville Fire &amp; Br…",4.0
6cambiz cute sammysable masturbating on live webcam  https://t.co/RA74aquQ41   romanian hairy pussy sexvideo solo big ass girl movies amaturegirls masturbate together preteen sucking dog on webcam newteenwebcamshow babestation lori cam shots sean,2.0
Sixty nympho switches cock from cunt to ass  https://t.co/m9AgKthifA   hardcore boy rape japanese maturesporn movies 3gp old mataur ser www kareena kapoor feet fetish peperonity www blackgrannytube net older couples fuckingtubes sleeping grannies,2.0
RT @missouri_in: Twitter is an amazing place...soooo many people with absolutely nothing going on in their lives...bitching uncontrollably…,2.0
RT @its_mohona: 26 years .. So many roles .. So many movies .. So many ways he spread love 💕   #26GoldenYearsOfKingKhan https://t.co/WqJPKb…,4.0
Heading to the movies to watch incredible 2 with my babies ❤️,2.0
"RT @saminaUFshaikh: As much as I love @BeingSalmanKhan crazily, I don’t want him to compromise on scripts for his upcoming movies. A strong…",4.0
Threat Level Midnight 9.2/10 movie,2.0
5s rule yone? https://t.co/lzopZ34bjj,2.0
Aw okay nvm then https://t.co/UGSbYsGZDo,2.0
"RT @ERCboxoffice: First the fire sale of MoviePass stock earlier this week, now the introduction of “peak pricing,” where you have to pay a…",0.0
RT @fox5dc: When you @ the wrong person ... https://t.co/31nLV35eY8,2.0
"RT @MrPatriaut: Our grandfathers died to \"liberate\" jews. Our sons die to advance jewish interests in the middle east.  They make movies an…",0.0
RT @OnTrippyDrvgs: ...like an old romance movie 📺 🥀 https://t.co/UsARvcH8hy,2.0
RT @JoeFreedomLove: AWFUL. Florida GOP Attorney General Pam Bondi Needs Police Escort to Protect Her from SCREAMING HECKLERS at Movie Theat…,2.0
@RealKyleMorris @Cernovich shes the ultimate swamp creature that knows trump is coming for her.  makes me think of creature from the black lagoon movie https://t.co/8wYyaLWoX0,0.0
RT @humandisatser: me pretending to enjoy the shitty movies the actors i stan are in https://t.co/EXSL3fnUwp,0.0
RT @Joy105com: MAJOR News!!! 💎💎It will be one of the hottest🔥 venues in Philly!!! It will house all types of events from 🎟LIVE Nation conce…,4.0
I felt like I was out of a ghibli movie. ✨🍃 https://t.co/PlBU0LEhjD,0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
"@IAmStrongForYou oh it’s fine, yeah that movie was really hood",0.0
RT @aslinayasmin: #TikTikTik Perfect casting. Soo advanced yet so simple. The director @ShaktiRajan must be a genius bcoz in every scene I…,0.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
RT @Funniest_Prank: Funniest Prank At Movie Theater 😂... https://t.co/FRRgPkfGFl,2.0
"RT @josephmoore1: me: wow did you know Netflix has multiple poster artworks for every movie, and uses an algorithm to show you a thumbnail…",0.0
RT @actor_jayamravi: Thank uuuuu Akka 🙏🏼❤️ https://t.co/O4m0uP4hKv,2.0
RT @Sajed4SRK: ⏹️ From Nothing to everything   ⏹️ From Struggling Actor to World Biggest movie star  ⏹️ From 50₹ To 750$ M Net worth   SRK…,4.0
RT @MarkDice: So actor Peter Fonda (@IAmFonda) calls for Trump’s 12 year old son to be raped by pedophiles and @SonyPictures is still relea…,0.0
RT @MundoVoto: POWER VOTE #4!!!!!!  •150 RETWEETS = 150 VOTES  •150 REPLIES = 150 VOTES •DON'T ADD EMJOIS! •REPLIES CAN BE REPETITIVE  •RET…,0.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
Cutie sex party  https://t.co/4eCRjw3NXK   faith nelson hardcore fucked hardsexvideo movies cum shots skinny teen girl hot whoresxxx somail fucking sexy pron free hardcore porn natalie portman picture ciara blue blow job movies,4.0
"RT @liviiiixx: this is my favorite horror movie ever, so who am i seeing it with https://t.co/go7TGJTiT7",4.0
