tweet_text,prediction
RT @mehdi_nisar1: Aamir to Salman every time Bhai's movies fail to beat his All Time Grossers 😂😜 https://t.co/pmZuF2I3XL,0.0
RT @JinkxMonsoon: Black Panther is a perfect movie.,2.0
RT @holdinontojiaer: they edited a movie scene out of the second scare prank from johnny to jackson...... boyyydhddhhs https://t.co/cB2JaM9…,2.0
RT @CAPTAlNERD: Tell me again how can you not be excited for this movie!!!! https://t.co/DNGlvopS9y,0.0
RT @hanxine: A non shitty teen movie? With an Asian female lead? I stan https://t.co/b5f7vnMhuo,2.0
RT @DOMINITY2: Another #OWK clip in our c4s store: HARD SPANKING * MADAM NICOLE OWK  @OWKreal @WomaniaEmpire  download: https://t.co/SMhZgj…,0.0
I feel like I’ve been so damn spoiled with good music and movies this year and it’s only JUNE,0.0
"RT @TheRickyDavila: Good. No justice, no peace! https://t.co/5oUv73twII",4.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
RT @avengermemes: TOM POSTED A VIDEO ON INSTA REVEALING THE NEW SPIDER-MAN MOVIE AND ITS CALLED   “Spider-Man: Far from home”   RT TO SAVE…,2.0
RT @jav_clip: Natural babe rides lover  Watch Full Movies ==&gt; https://t.co/sq3Oqj7u7P https://t.co/1EU2tbzZmT,2.0
Superb Horny Milf (lucky starr) Get Nailed Hard By Black Monster Cock Stud movie-19  https://t.co/Pwm3kwsjY9   liselle bailey hardcore fotos interraciales de charlotte stokely lizbianki party milf movie dixie wife porn tubes jenniferlove black co,2.0
"RT @MontyBoa99: FL AG Pam Bondi dropped the state's lawsuit against Trump University. Trump threw her a fundraiser and donated $25,000 imme…",0.0
"RT @caferoxie: vintage cassette tape, cassette music, movie soundtrack, SEALED, 1990's music, Vintage, New Condition, ADDAMS FAMILY, altern…",2.0
@herr_izzat Next shooting place movie maybe,2.0
"RT @josephmoore1: me: wow did you know Netflix has multiple poster artworks for every movie, and uses an algorithm to show you a thumbnail…",0.0
RT @yfalmusallam: WHO ARE YOU BATMAN https://t.co/8Zi338RkcG,0.0
@WinstonMei1967 @TomHall Those movies were great when I was little !  😆😆😆💕..😲..😆😆,4.0
Watch Norwegian Wood (2010) Full Movie  https://t.co/BK2F3Sq1iD #NorwegianWood https://t.co/WBCofAHZxH,2.0
"RT @BoRhapMovie: The only thing more extraordinary than their music is their story. Watch the new #BohemianRhapsody teaser trailer now, in…",0.0
"RT @navneet_mundhra: In a 1992 interview, Salman Khan is talking about his then-upcoming movie 'Andaz Apna Apna'. He asserted that it would…",4.0
RT @RegalFilms: Walwal Girls at the last Walwal Movie Tour at Ayala Malls Solenad! #WalWal3DaysToGo https://t.co/KHiKp44nJB,2.0
