tweet_text,prediction
RT @Complex: Tom Holland leaks subtitle for next 'Spider-Man' movie. https://t.co/fd1KdF8N0J https://t.co/kGwbFrEo3X,2.0
Bubblebutt bitch dildo  https://t.co/FzZrJEvclv   money snowman dildo massege massegetube everythingbutt com pornhut white bubble butts fucked movie with julian rios and redhead jizzbigtits panythouse big booty porn,2.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
Why i always choose to watch sad movies on netflix 😭💔,2.0
RT @jav_clip: Deflorating  Watch Full Movies ==&gt; https://t.co/19XhNFk1QP https://t.co/Q5jntqZ3CY,2.0
Smithers picked me because I saw this movie about something.,2.0
RT @WholeLottaLeek: lol I love this because it don't even look like a movie cast it look like a Black family throw back https://t.co/doXSai…,0.0
More Shenanigans from your modern Democrat Party. Believe me violence is coming this summer and it's all perpetrated by these radical leftist Democrats. https://t.co/vb1q2dfI1q,0.0
RT @lola_valeriana: TV: DKNLK (aside from EB) ENDORSEMENT: Mac RECORDING: Universal Records MAG: Mega SOCMED: TikTok  Can a new MOVIE be no…,4.0
RT @aaangelyap: how many bets he wasn't supposed to share that info https://t.co/YTnRu8iEUX,0.0
"@prattprattpratt Watched fallen Kingdom last night, killer movie!! Thank you for continuing my childhood dream..ill watch you make these till im 80, still sitting in theaters watching JP31 dinos in space... great job to you and the entire cast. Thanks man",4.0
RT @THollandNews: 🎥 | @TomHolland1996 confirming the name of the new Spidey movie #SpiderManFarFromHome #ACEComiCon https://t.co/G70IfhMZay,2.0
RT @shetty_anjali: Check out what @AmrutaOfficial has to say about her year so far in the Anniversary special of HT Cafe Pune! This year’s…,0.0
Movies with popcorn  (chilled) https://t.co/OLuZu5FpRn,2.0
girl ghostlybeauty squirting on live webcam  - find6xyz  https://t.co/ALxveRavux   malayalamold sex movies brent corrigan solo pics masturbate faye reagan 3gp video porn webcam mom newteenwebcamshow any porn star thats alike misa campo henti porn,2.0
RT @Amat_Porn: 📽➡ https://t.co/jSKVmziMkB  🔞 Lily Rader invites you over for a movie and she is #horny too https://t.co/t93MZCzM9n,0.0
