tweet_text,prediction
RT @slashfilm: What's Going on with the 'Star Wars' Spin-Off Movies? New Development Details Emerge https://t.co/lDamXuByG7 https://t.co/pc…,2.0
RT @aikonzert: Thank you SM Dasma and Ayala Malls Solenad!  🤘 #WalwalMovie last movie tour done 😥 https://t.co/xhbr6AKzUN,2.0
and its a korean horror movie so why not,0.0
RT @dmartosko: Seeing Trump-linked people get drummed out of restaurants and movie screenings reminds me of what may have been the most bri…,2.0
-Movie Of The Morning- Incredibles 2 https://t.co/n5Cz5s1HnZ,2.0
RT @kaitlynlaurel_: *Love https://t.co/mYBa3pIPXM,4.0
RT @RaminSetoodeh: Here are the top-grossing movies of 2018 so far: (1) #BlackPanther $699.7 million (2) #AvengersInfinityWar $669.5 millio…,2.0
RT @Joy105com: MAJOR News!!! 💎💎It will be one of the hottest🔥 venues in Philly!!! It will house all types of events from 🎟LIVE Nation conce…,4.0
"@truthglow #Florida #attorneygeneral #PamBondi \"Pam Bondi\" goes to see \"You Won't Be My Neighbor\" so outraged at \"Mr. Rogers movie\" is escorted out by #SS #StassiScum? #DrEd #EdWardMD https://t.co/VoiyfmnHbC     via @ABC #YouWontBeMyNeighbor https://t.co/HfmovnFX37",2.0
"@Loriipops @ShannonBaker Saw it. really well made and emotional movie, actually attracted my attention on this issue.",0.0
"@ThatKevinSmith I'm sure you've  seen the petition by now, and the fans cannot be ignored. We, the movie going public, demand an immediate remake of...Tusk! I'm sorry man, but you had to know this was coming...",2.0
"RT @kimtopher22: Sorry for the word vomit, but we've liked two of the same movies and there are few things I like talking about more.  Hey,…",4.0
RT @ChhappanChhori: India Is Changing.  Matured Movies Unveiled. #LustStories https://t.co/NOoFWn7hPk,4.0
"There are only 2 returning characters in Death Race 2, Lists and 14K. The former is actually one of my favorite characters from the first movie and the second is Robin Shou so they're some good keeps.",2.0
RT @dylansavage_: they stay bangin 🔥🔥 wtf https://t.co/DwyHNlK03e,0.0
"RT @RealCandaceO: If you were outraged over Roseanne tweeting that Valerie Jarrett looks like a monkey, but are okay with the fact that @So…",0.0
