tweet_text,prediction
RT @AbregoLeisy: Central Americans now have about four decades of mass migration to the United States. Think about how often you see us rep…,2.0
RT @Paramarzz: I have no idea that you were in this Documentary Dock of @NatGeo #Longroadhome i had to pause and play the movie in order to…,0.0
mood https://t.co/Pf602SewK7,2.0
"RT @thehill: Protestors drive Florida AG out of screening of Mr. Roger's movie: \"What would Mr. Rogers think about you?\" https://t.co/GkUE8…",2.0
RT @danielmarven: The 90 day rule only works in movies.,0.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"RT Pornhub \"Pornhub: Where every movie has a happy ending\"",4.0
A million times better than that horrible travesty that was released in theaters a few years back. https://t.co/9pnjcYcSlb,0.0
"Something I thought of, we've all heard of bad movie nights. How about a bad video game night? Could be a load of fun provided nobody rage quits of course.",2.0
Looking forward to it! https://t.co/PBsYS9zTbs,4.0
Wow.. that was a good movie year https://t.co/ogrP1HmNZB,4.0
"I'm bi, she played a few LGBT+ coded characters, but I didn't watch any of those shows/movies when they originally aired.",2.0
"RT @BGR: Volvo is making a true ‘Autopilot’ that’ll let you eat, sleep, or watch movies – coming in 3 years https://t.co/f9SjhK9HUM https:/…",0.0
RT @fatmagul_lovers: Yes!! We continue promoting Engin Akyürek’s latest movie #CocuklarSanaEmanet #Keremhastalaeternidad because we want th…,4.0
RT @TollyFilm: #BharathAneNenu  Superstar @urstrulyMahesh Career Biggest Movie. ReleseDate-20-4-18 WW Theatrical Rights-100CR Final Share -…,2.0
RT @danielmarven: The 90 day rule only works in movies.,0.0
Ewon Re (Prison) – Yoruba Movies 2018 New Release|Latest Yoruba Movies 2018|2018 Yoruba Movies https://t.co/HInDE5218Z https://t.co/y0RIcptbTS,4.0
Jets Movie Night announced for MetLife Stadium in July https://t.co/TruF0QSKn3 #NewYorkJets #MetLifeStadium #AntMan #Marvel https://t.co/nRszAZcRVB,2.0
Why can't @PlayStation #vr come together with @JurassicWorld come together and make a perfect movie so Dino can pop out of tv unlike 3d experience more inhansed so it can blow everyone socks off by vr dinosaur attack! 😆#playstationvr,0.0
RT @AishiaDeal: These rich men don’t have to have any conversation..take these women shopping.. to dinner..  a movie... or to the damn corn…,2.0
This is why Rachel Talalay deserves an Emmy nomination for Best Movie/Mini Direction. She's one of the best directors working on TV today. #DoctorWho #EmmysforDoctorWho https://t.co/MC7bXOjMBp,4.0
"But can we talk about Iona (played by Annie Potts) for a second? Isn't she the best??? That's my favorite characters in the movie. :) When she put on her old prom dress and did up that beehive hairdo, I almost died of cute! :P Then...",0.0
Superfly was my type of movie,2.0
I can't believe the MJ Hegar movie has Angelina Jolie tapped to star when this role is perfect for Allison Tolman. #badasstexaswomenonlyplease,4.0
"RT @PrisonPlanet: Twitter banned Milo for life for making fun of a movie, while Peter Fonda still has an account after encouraging the rape…",2.0
RT @ImJia29: 2nd Favorite SRK Movie batao sab  It's DTPH for me ❤️  #26GoldenYearsOfKingKhan,0.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
movie night with the old man💙💙,2.0
RT @DailyTomHolland: 📲| TOM HAS THE SCRIPT OF THE NEW SPIDERMAN MOVIE VIA HIS IG https://t.co/BuGE09vKVM,4.0
RT @SalenaZito: Endorse. This movie is incredible https://t.co/d3GctHGmQL,2.0
RT @yourgirlandi_: I want this to sneak snacks into the movie theatre with https://t.co/8wn1eBlxqv,2.0
What’s Going on with the ‘Star Wars’ Spin-Off Movies? New Development Details Emerge https://t.co/q7O4AX31b7 #movies,2.0
RT @_CineAddiction: #JamesMaslow is set to star in #WolfHound!  https://t.co/LVg6ygEI0z,4.0
RT @captsoldier: best mcu movies ranked  15. you 14. can't 13. rank 12. them 11. because 10. those 9. all 8. are 7. diverse 6. and  5. all…,4.0
