tweet_text,prediction
RT @rameshlaus: #Sarkar wins by a huge margin as the #MostExpectedDiwali2018 Movie.. https://t.co/HlNjZcbHe2,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
RT @ZoeTheBall: Rowan thanks for letting us feature your magical book. Full of movie casting ideas ha. Huge love 💗 #lovebooks https://t.co/…,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
LASTING LOVE | MOVIES | LATEST NOLLYWOOD MOVIES | FAMILY MOVIES https://t.co/Km4hxhe5L2 https://t.co/RuAeTVQDN5,4.0
"RT @mandipie4u: As always, @EvangelineLilly gave an AMAZING interview today!  I can not wait to share it next week.  You will find out whic…",0.0
Funny how this works.. https://t.co/2pXJk4qh8y,2.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
#26GoldenYearsOfKingKhan From a simple lover to an obsessive one From an army man to a Don  From a college student to a college teacher  From a movie star to a fan  From a gangster to a tour guide  And above all from a king to a 3 feet bauaa  Versatility has a name &amp; it's @iamsrk,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"@StaceShaw Then he's obsessed w/looks, joking about how one pic was better looking than movie star.  I wonder what he thinks looking out at his supporters that while some appear well put together, majority of faces I see in his crowds are very ugly, glazed eyes, creepy looking people",4.0
cringe https://t.co/wPGAQOQfkD,2.0
RT @DanGurewitch: I am confident that from now until the day my great-grandson passes away peacefully in a spaceship crash no one will come…,4.0
Hitting up the movies today sounds like the move🍿,0.0
"RT @FoldableHuman: There's a lot of things that contribute to Solo's performance: poor press, weak promotional campaign, weak reviews, weak…",0.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
RT @signofmedicinex: Next month we will be celebrating:  1 year of Dunkirk movie. 1 year of back to you. 8 years of one direction.  that's…,2.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
"@MrAdeoluwa You knew the movie was trash, yet you downloaded it",2.0
@Ratman_Roden @TylerMahanCoe https://t.co/dFNdjt0U6Z was a  Italian American American actor and Played the Indians in Hollywood movies.,0.0
Ready Player One (2018) #IMDb Movies 🎥 Time https://t.co/w8kuWSrZE6,4.0
Gay porno kiss movie americans and boys teens naked sex Hot Boy Troy  https://t.co/VPad4PkGbQ   paki twinks porn dadtwinks videogaysex black gay 3someporn gay anal sex with low hanging balls roxy gay facial youtube mature gay kissing,2.0
"OH MY GOD ITS HAPPENING. OH MY GOD OH MY GOD OH MY GOD AHWDIAWHDN VAYVR*A\"NWYRH*A\"MRY\"A*FNAYHR%\"JF(AHIRJA(HIFJAHF  https://t.co/Lt5WXxTLB1",0.0
