tweet_text,prediction
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @SrkajolBig: #13YearsOfPaheli 🎉🎉🎉 Beautiful movie &amp; beautiful couple😍😍😍  #ShahRukhKhan &amp; #RaniMukerji  @iamsrk 💕💕💕 https://t.co/19qRN3kI…,2.0
"If and when this is ever reversed, I don't want to hear peep of complaint out of the \"news\" media or Hollywood SJWs who are silently snickering at all this, or are justifying it. Not one word, later, you effing hypocrites. https://t.co/Avq7LRsNTe",0.0
@WahajZia This news looks like past and copy from Hollywood movie,2.0
S and Diana Kissing Part3 Video2 Preview  https://t.co/sBREYFm8TZ   kiss teen lezba sex video iranian girls kissing porn tongue kissing yaoi free granny french kissing movies tongue kissing lesbians,4.0
"RT @SupesBatsy: So, Marvel got Spider-Man's movie rights and we got: -SM in Germany -no Uncle Ben -SM not swinging on skyscrapers -SM not a…",0.0
RT @_Sineziwe: Yes. Yes. Yes 😍 https://t.co/7QcgQBsylj,4.0
RT @Amat_Porn: 📽➡ https://t.co/jSKVmziMkB  🔞 Lily Rader invites you over for a movie and she is #horny too https://t.co/t93MZCzM9n,0.0
RT @woIvern: “i haven’t seen the falcon movie ... oh wait there isn’t one” THE DEVIL WORKS HARD BUT TOM HOLLAND WORKS HARDER https://t.co/k…,2.0
"RT @Akki_Ka_Deewana: I wish movie mein 2-3 bengali dialogues ho, like s26!   GOLD TRAILER DAY",2.0
Get free access to HQ hard movies ➽ https://t.co/0CSWyLvpzN fucking cum movies tube pornstar videos teen freeporn https://t.co/5X724gO0k0,2.0
Thread of @StheBee : https://t.co/TyfP8gFuy0,2.0
RT @_orje: Imagine going to the movies and just kissing the whole time. What a waste of twenty five credits. Jeez,0.0
RT @LASTEXITshirts: Want to see something really scary? Twilight Zone the Movie is 35 years old today.  What's the best story in it? https:…,4.0
RT @OnePerfectShot: It's a bird! It's a plane! It's our super-sized list of the greatest superhero movies of all time! https://t.co/oXf7uIJ…,0.0
BET been showing madea movies all week damn😭,0.0
RT @gothsloki: fuck my ratio i want new mutuals gain tweet! so rt if you stan  - the whole mcu - tom hiddleston - loki - tom oohwooh hiddle…,4.0
"RT @THEMAZEKILLS: friendly reminder that the last word ever said in the maze runner movies franchise is \"newt\" by thomas brodie sangster wh…",4.0
"RT @44mmvvpp: Protesters confronted Florida AG Pam Bondi as she left a movie screening of Mr.  Rogers, \"Won't You Be My Neighbor?\" \"What wo…",2.0
“I have been the biggest fan of Shah Rukh Khan since my childhood. I have watched all his movies &amp; my favorite is #DilwaleDulhaniaLeJayenge. I would love to be his heroine someday. I also admire his personality. He is a brilliant actor &amp; can pull off #26GoldenYearsOfKingKhan https://t.co/POiqJE0tRQ,4.0
I liked a @YouTube video https://t.co/EDfhIrautA Uncle Drew 2018 Movie Official Trailer #Kyrie Irving Shaq Lil Rel Tiffan,2.0
Agora na Melody 94.1: CUT´N MOVIE - GIVE IT UP - 93,2.0
Race 3 wat  a nice movie😇😇,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
