tweet_text,prediction
RT @danielmarven: The 90 day rule only works in movies.,0.0
did anyone else get so confused at the movies before watching The Incredibles II when they played that short film with the Chinese woman and the ball of dough that was treated like an actual child? bc if so I'm glad I'm not the only one.,0.0
"RT @ChaituAntePichi: NC vs RC  With Disaster Talk •Dhada Ap (2011) - 11crs •Toofan Ap (2013) - 10.2crs According To \"ABO\" Original Below 10…",2.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
"RT @thehill: Florida AG driven out of screening of Mr. Roger's movie by protesters chanting \"shame on you\" https://t.co/3USZbKw7ay https://…",2.0
@caffFilm @RMTheLastJedi This was the exact image I thought of when hearing about these assholes trying to remake a movie they didn’t like,0.0
RT @am_crawford23: BET &amp; VH1 show the same movies over &amp; over .,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
RT @sonalSalmanK: I felt like Race3 was 1take movie. No retake. Don’t want this to happen again. I’ve watched your each film thrice in a th…,4.0
@IHateBeans2 A disgusting way of life. Movie theaters should really start cracking down.,0.0
"RT @RealJamesWoods: To be clear, @jaketapper blocks me. I believe he’s a biased, poor excuse for a “journalist.” I am, however, always goin…",0.0
Twerking For Bae  https://t.co/Q06uArzS3Z   lesbian ass finger and dildo action ebonycumcovered movie very thick dick in asshole porn bubblebutttryouts tweety valentine tube,4.0
"OGA at the Top - A 2018 Yoruba Movies best for your viewing pleasure. Starring: Jide Kosoko, Fathia... https://t.co/Uob7nroOuU",4.0
RT @MundoVoto: POWER VOTE #4!!!!!!  •150 RETWEETS = 150 VOTES  •150 REPLIES = 150 VOTES •DON'T ADD EMJOIS! •REPLIES CAN BE REPETITIVE  •RET…,0.0
Pornhub: Where every movie has a happy ending,4.0
Saw Jurassic World: Fallen Kingdom on Friday! Great first and third act. Middle of the film slowed down a lot. However I really enjoyed this movie. Had your caring about saving the dinosaurs. With some good morale decisions! Score: 75 #JurassicWorldFallenKingdom,4.0
"@bubbaprog @Timintampa I am against Pam Bondi being shamed out of the theater!  She should have been allowed to see THIS movie, at least.   If anyone ever needed some lessons from Mr. Rogers...",4.0
RT @Chainbody: movie theater:are u sneaking food in ur pockets  me:(trying to think of excuse)no its uhh  movie theater:what  Me: https://t…,2.0
"Instead of playing Tyler Perry movies all day, it would be cool for BET to play all the award shows dating back to as far back as they can go during the weekend of the #BETAwards. That’s the ultimate BET experience don’t you think?",0.0
@jaketapper @RichardDreyfuss Haha I was hiding from that shark in the movie on dryer land!! AJ @ajsileo914,2.0
Which one? https://t.co/fVobj9TNVD,4.0
I want a Falcon movie now https://t.co/uYqEt9OlG0,4.0
I hope you remember that movie and considering each sentence in the movie (to .....),2.0
RT @signofmedicinex: Next month we will be celebrating:  1 year of Dunkirk movie. 1 year of back to you. 8 years of one direction.  that's…,2.0
Favorite movie 💯 https://t.co/8Wdxrxznfm,2.0
RT @BoSnerdley: Trump-Friendly Florida AG Pam Bondi Driven Out Of Movie Theater: ‘Shame On You’ https://t.co/6RaF8Gmmz8 via @dailycaller,2.0
On Saturday going to a vue cinema no one in our town so never been to one before . Can i use my sons cea card their? #vue #Cinema #movies #jurrasicWorld #daysout #Autism #heatwave #weekend #film #dinosaur #ChrisPratt,4.0
RT @empyreall: yall only nasty on twitter. half of you niggas will sit through a subpar netflix movie for damn near two hours just cuddling…,2.0
RT @abigailspencer: It’s true. Thank you for all your support #Timeless fans! It’s been an absolute joy playing your Lucy. I sincerely hope…,0.0
"RT @krystclass: Korean media's article about Krystal &amp; Lay's movie is out~  \"China's Sina Ent has confirmed on June 21 that the movie 'Unex…",2.0
@inukeitha i need to catch up!! i only saw the first episode/tv movie thing,2.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
YOUNG MONEY CASH MONEY BILLIONAIRES pt 2 African Nollywood Movies https://t.co/ikm2IbpKup https://t.co/j9egy0V4of,2.0
"decided then to look at imdb and god, many people were outright destroying the movie",2.0
"\"You really need to buy in. You don't have a choice stupid pleb. But if you don't, especially if you voice opposition, well then you're a racist, sexist, xenophobic, homophobic, bigot.\"   \"But its just a game, or movie, or comic why so serious bro?\"",4.0
RT @mystery0725: Last interview...in #SalmanKhan's  own words....he mentioned about the movies he's doing... Bharat--&gt; Kick2--&gt; SLB--&gt; Tige…,0.0
Watch lesbian movie: https://t.co/BDNgRk6mdL Summer Brielle slides the pool boys cock into her https://t.co/W0eRhEPLVE,2.0
"Hey, Writing Twitter, quick question: should I name one of my characters something close to its mythological inspiration (like Low Key Lyesmith) and potentially give away the movie or name them something different and hide the twist as long as I can?",4.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"Enjoy Toy Story 3 2010 Full Movie, Click Link!!!  WATCH NOW ► https://t.co/bhA5os2evA",2.0
Autism friendly movie allows children with autism to see summer blockbuster https://t.co/a1aH5x2DxB,2.0
@JereShea is included in this week's Shaun Berk's 10 Movie Recommendations at https://t.co/tDuvThHQRO,2.0
Our top 10 Hawaiian style movies. What are your favorite Hawaiian style movies? #honuastudios #hawaii #filmmaking #top10 https://t.co/OxFo6D2Gzr,4.0
Full Metal Jacket https://t.co/qM5s3pa5og,2.0
The look I give when someone asks me to pick a movie from the Netflix queue.  .. .. Via IG @bronco.the.dobie #doberman #dogsofinstagram #dogs #dogsofsanfrancisco #sanfrancisco #sf #dobie #dobermanpinscher https://t.co/P0ylwy26xi,2.0
If you ever need to find the largest person in a movie theater just look in front of me... #everytime,4.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
RT @bodysouls: @RealOmarNavarro @RepMaxineWaters What Maxine is calling for is nothing less than Domestic Terrorism.  Saying Trump supporte…,0.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
BAD ROMANCE – NOLLYWOOD LATEST MOVIE https://t.co/iB8K7hUv2R https://t.co/RXxPJpBEEB,2.0
"RT @QueenHalloweenW: \"Wanna see something really scary?\" Twilight Zone: The Movie was released 35 years ago today. #horror https://t.co/2G0…",2.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
RT @thorcgnarok: as long as the new poster is better than this... then fuck it. the movie can be titled “spider-man: on route to london” an…,0.0
idk if i wanna workout or go get in my bed and watch movies,4.0
I saw you in every movie that I watched 🙊,2.0
"Checking out the new theater. Quite the experience! Though doubt it’ll be the regular go to as it’s easy to spend more than you should.   Great movie, but original was still slightly better.",0.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
Big butt african celeb gay porn xxx His red-hot urine runs down his  https://t.co/q1QnrO9IeK   gay sexy video in nairobi twinks musturbation gujaratigaysex com www freegaypornofilm gay fetishezzo gay solo vid free gay pissing 3gp porn movies,4.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
RT @YogiBabu_offl: This is not movie  Took a picture with real labours https://t.co/X6fAGDSwEx,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
Family Time is the Best Time. Afternoon movies with this crew. #Mom #Carter #SisNLaw #FutureNieceNephew (inside My Sissy) #familyfuntime ms.baggie malyssahjackson https://t.co/kw3oZwD5fX,0.0
While watching the incredibles 2 I was so confused because I thought they learned about jack jack’s powers at the end of the first movie. 😂,2.0
RT @TheSopranoQuote: Ralph- “I have come...to reclaim Rome...for my people.”  Georgie- “Hows it goin?”  Ralph- “I HAVE COME...TO RECLAIM RO…,4.0
I been there. https://t.co/dut3ksspKS,2.0
please recommend me movies &amp; tv shows for my 6 hour flight!!!!!,0.0
RT @uhnet: @SpenceNicholson @jenyamato @mattzollerseitz This movie made me feel such incredible sadness for our world.,0.0
RT @lexthetrapgod: today is definitely a lifetime movie kinda day,0.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @nerdist: Our 13 favorite Han/Leia shipping moments from every #StarWars movie. https://t.co/X9ynDKr2Ud https://t.co/DxKIbu1a1g,2.0
RT @MollyOglesbee: Don’t get me wrong I like to get hammered as well as the next guy does but if you say movie night and pjs while eating j…,0.0
RT @thyxvoid: best mcu films ranked   15. it's hard 14. to rank 13. movies from 12. the same franchise  11. from best to 10. worst as 9. ea…,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @BlissTabitha: AWFUL. Florida GOP Attorney General Pam Bondi Needs Police Escort to Protect Her from SCREAMING HECKLERS at Movie Theater…,2.0
RT @HenryCavillNews: “Look who joined us for the movie!” Christina and her husband just met Henry in FL https://t.co/zaiRxl8mtG https://t.c…,2.0
"I’m like a year late, but Coco is a phenomenal movie.",4.0
