tweet_text,prediction
"@smashingpaps @kreuzberged @allhailtwit I am off, too. 😉 Watching a movie, \"Lawless\".",4.0
"@DStvCare  I have issues renting a movie on box office, please assist. Thank you",2.0
"RT @scolo: I think we can all use a reminder of what it means to be a kind, decent person &amp; how to properly treat children &amp; each other. PL…",0.0
Free Movies!  Best Exploitation movie site on youtube! https://t.co/zsbNhKDXds …   #horror #grindhouse #exploitationmovie #drivein #cult #obscure #trash #sleaze #scifi #shorts #movies #freemovies #films #cinema https://t.co/icj10YSL9K,2.0
@liarygm wanna watch the movie tae was watching,2.0
RT @FreddyInSpace: The Indoraptor is so legit scary that I genuinely wonder if kids will even want to play with a toy of him. He's filmed &amp;…,0.0
"@Neuro2343 he did! &amp; they sound like great stories- as movies. HAHAHHAHA. jk jk. but idk, i’m so conflicted because he’s so excited about this, and i’m like “a book? what is that? what do you do with it? do you sit on it?” haha.",0.0
"#20: 558,609 views Disney Movie Food Challenge w/ Jon Cozart &amp; Noah Cyrus https://t.co/dbRuzLFJYV",2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
"RT @HeadlessCritic: \"The look, sound, acting and even special effects are studio flawless and done so on a budget.\" \"Writers, directors and…",0.0
"RT @WestworldGifs: Fun fact: The #Westworld season 2 finale has an extended run time of 90 minutes, that's 2 minutes longer than the origin…",2.0
RT @LoveAustinWolf: https://t.co/PWfKE4R6sA check out my latest post on my @4my_fans page #4myfans fucking a hot boy in the bathroom #123 h…,0.0
latest nollywood movies 2018 nigerian full movies 2018 An assignment is given to two young ladies to steal... https://t.co/n92j8zrjBy,4.0
"RT @evelmiina: #HowToTrainYourDragon Toothless. I've watched the first two movies multiple times, so needless to say I look forward to the…",4.0
"RT @williammcnamara: Really proud of new movie, #opusofanangel… https://t.co/esemBTnR3t",2.0
Me after searching movies in @NetflixIndia https://t.co/oKxrJdQjBU,0.0
"RT @existentialcoms: The real sign of a shit movie is when you walk out of the theatre and are like \"that was good\", but then three hours l…",0.0
"RT @BrianKeene: Hello new readers. Complete lists of every book, audiobook, comic book, movie, and everything else I've written can be foun…",4.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
Nasty Wild Teen Girl Show Up To Perform Amazing Sex movie-19  https://t.co/NEjuu69DJ4   hd teen fudi porno malay pussy pic trisha krishnan hardcore sex porn videos dog cum on tits porn Www tami boobs press peperonity com evelyn asstraffic hardcor,2.0
Just Gotti see this movie! #MoviePass https://t.co/a858u8o1Ht,2.0
"Seriously, plz vote or chime in,lol.  I know these people aren't bad, and I love my family, but when I take politics, current events. LGBT+Topics, etc (they dunno anything), off the table &amp; then ignore gaming movies etc... b/c they're clueless I run out of things to say sometimes https://t.co/xVKndfm6E8",0.0
RT @themactez: boy what? i only watch this movie bc of her https://t.co/u5ebEmu8lV,2.0
@baisicle zinga and i are watching a movie in a couple of hours,2.0
@chat_squidward @RahimWashington @Nutcase020 @filmgob Don't forget to add Iron Boy Homecoming. At least Black Panther's suit was practical throughout most of his movie.,2.0
RT @PapiNayy: I wanna go to the movies 🎥,4.0
"RT @javhdphotos: MIAE-252 (Censored) ✨Download full movie 4,0gb✨ 👉https://t.co/JlckSu6LSr https://t.co/3AoTRiheEI",2.0
RT @Mavsour: I seriously just wanna cuddle up with my favorite person and watch an old disney movie with hot chocolate and ignore life and…,2.0
"@jaketapper @RichardDreyfuss How about reporting on the NEWS Fake instead of making stupid funnies. Here’s one for you, AG in Florida spit on at movie theater by left wing kook.",2.0
"RT @INFJramblings: \"You are not just here to fill space or be a background character in someone else's movie. Consider this: nothing would…",0.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
My favorite part in the new Jurassic World movie was when the blue raptor said “We are Groot” and everyone in the audience cried,4.0
"RT @thehill: Florida AG driven out of screening of Mr. Roger's movie by protesters chanting \"shame on you\" https://t.co/3USZbKw7ay https://…",2.0
RT @PudgeHowerton: That shit go dumb! https://t.co/ZEIHsV95Zz,0.0
"RT @MikeAdamOnAir: .@CheatCodesMusic explains #OnlyYou with @LittleMix: \"We wanted to tell a story that a lot of people are familiar with..…",0.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
"RT @mickeyhanbinee: The pictures Hanbin posted in his Instagram are from the movie, The Truman Show and Truman Burbank said “Good morning,…",4.0
"RT @ManaByte: I want a movie with Spider-Man, Falcon, and Bucky. Like Three Amigos in the MCU.",0.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
RT @ShmuppyPaws: I watched a movie last night where a major plot device can only be described as “clown egg phylactery”,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @scottderrickson: All art is political. All art is philosophical. All art has a message. I suggest you trade in your false guilt for tru…,4.0
This movie reminds me of y’all @Itu_SeRei and @ForEv3r_AnGie 😩🙌🏽 https://t.co/rbJlOOdXuB,2.0
Escape plan 2 awesome movie,2.0
"RT @PKsbpdl: When you understand \"Apocalypto\" is Mel Gibson's best movie, you'll understand the reality of European supremacy and the power…",4.0
"RT @Lexual__: The star of the movie, James Baskett, wasn't allowed to attend the premiere of the movie in Atlanta https://t.co/ZM2ZGKEk3y",2.0
"RT @BrianLynch: The Muppet Movie, The Jerk, Star Wars, Tootsie, 9 to 5, Beetlejuice, Wayne’s World, Planes Trains and Automobiles, Back to…",4.0
RT @UdehMadu: I created a video that put together scenes from 80+ black movies from the 70's to now into one story. I hope to one day work…,4.0
RT @H4LL0WEEN_: ⚠️Spoiler Alert⚠️  Leaked page from the Halloween 2018 movie. 🎃🔪 https://t.co/hT6tYbKga7,2.0
RT @Ann91237283: I won't pick a favorite movie starring @brennan_elliott. He is a 5⭐ actor worthy of any award. It's rare 2c an actor who s…,2.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
RT @empyreall: yall only nasty on twitter. half of you niggas will sit through a subpar netflix movie for damn near two hours just cuddling…,2.0
RT @ThomasAKellar: Still think @AwaitFI is the movie to beat this weekend for me at @cinepocalypse,4.0
My favorite part of the movie 😭😂 https://t.co/PQWw16Hx3a,2.0
I’m Zooey Deschanel in the movie Failure to Launch.,2.0
Going to a movie at 7:15,2.0
RT @notgirlnotboyy: OK my question why kyung soo skin somewhat dark ah so hyun too on my television... I'm cried non stop because bumsil lo…,0.0
RT @USAHotLips: Sandra takes issue with location not the harassment that took place. Typical.   Comprehension is pesky Sandra. https://t.co…,0.0
Cute College Girl suck big dildo and  squirt live on 333SexyCamsCom  https://t.co/PiGHyKCHyt   free dildo movies mei foreign teen sex cutting pussy video www sxsebabe com wendy taylor outdoor granny shaved and fucked soweto local naughty vids,2.0
"@ShumDarioNews Food, walks at night, watching TV shows or movies, going out with friends, reading books -especially TMI😏😏-",2.0
RT @ItsAlexJackson: “do gay teens need gay movies?”   I don't know do straight people need a million different movies with the same basic p…,2.0
"RT @ragnarok: chris hemsworth looking like an absolute snack in the “12 Strong” movie, i’m in love https://t.co/n7GydWfDVf",4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
https://t.co/B2tEKizgqt  chat small tits black girl wicked sex beauty lesbian flirt 2k sex free upload video teen squirt young girls outdoor porn gallery nubile films xvideos xhamster gangbang tits brazzers mexican sex movies gape sex use austria,4.0
RT @LadyCommanderTV: Bash and I are streaming The LEGO Movie Videogame! ❤️  https://t.co/sN0RngM7Fl,2.0
RT @LaughAllDayJoke: i would love to see a children movie with characters like this https://t.co/gwAbAo5xcM,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
@YourRAGEE @FortniteGame This like a horror movie now smh,2.0
@jordanw5432 I was close then sounds like a good movie,4.0
Audrey Hepburn stars in which of these films?  A.  Irma la Douce  B.  Some Like It Hot  C.  The Unforgiven  D.  Never on Sunday  The correct answer is here: https://t.co/wyfQEho2pU #AudreyHepburn #FilmStar #MovieQuiz #quizzes #films #1960s #Ultimate60s #movies https://t.co/6er59A4zJR,0.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
"RT @things75: @ThomasSanders @linklamont If there was ever a Sanders Sides movie: Link would play Logan, Joey Graceffa would play Patton, J…",4.0
