tweet_text,prediction
RT @AmericanIndian8: Wind River Full Movie https://t.co/IyiFIitnL7  #MMNAWG #MMIW #MMIWG  #INDIGENOUS #TAIRP https://t.co/4KtYICjjb5,2.0
"RT @PopCrave: .@SelenaGomez and @AndySamberg set to appear on “Good Morning America” Friday, June 29th, to promote their movie #HotelTransy…",2.0
RT @HannahBrooks25: Cracking result for @England today 😃 Celebrate by signing up to my XXX rated onlyfans account here ➡️ https://t.co/s7Sj…,0.0
https://t.co/HjbFAK8oUX Sex Hardcore Danish Porn XXX MILF XXX Movies Suomi Porno XXX free xxx anal porno izle video XXX sunny leone videos Xnxx com izle sex XXX fucking sex XXX fucking sex ures XXX Nacked Teens,2.0
#TikTikTik a movie for the next generation.  slowly becoming a @actor_jayamravi fan https://t.co/Tf6vpBC6G0,2.0
@tdau1997 @NotKennyRogers Dane you quoted the first 15 minutes of the movie...while we watched it..,2.0
RT @iamsrk_brk: 26 Years of World's Biggest Movie Star. 26 Years of World's Richest Actor. 26 Years of World's Greatest Actor. 26 Years of…,4.0
RT @ANCALERTS: Movie review: 'Hotel Artemis' tries to be Tarantino https://t.co/jS6KsoO5e2,2.0
RT @librarycongress: As we count down to the opening of our #BaseballAmericana exhibit we're asking fans a question each week.   ⚾️TODAY'S…,0.0
the new spiderman movie is 2019 im not gonna cry,2.0
"RT @Variety: Spider-Man's #Silk, a Korean-American superhero, is getting her own movie https://t.co/6PI5YZZb6r https://t.co/36rIYRJ6FY",2.0
Shopping and a movie with my guys!  Day made!🤩 https://t.co/CCdx7FTEld,2.0
RT @ogunbaseridwan: @ItsHimOla Watching movies,4.0
RT @thisisinsider: This is how creepy crawlers are trained to star in TV shows and movies 🎬 https://t.co/fXuoApv5Iy,4.0
RT @colintrevorrow: Thank you to audiences around the world for going to the movies this weekend. We hope you had a blast. @FilmBayona @Bra…,4.0
"RT @fyfmendes: I love the Jurassic park and world movies so much, i just watched the new one in the theatre and i LOVE THEM ALL",4.0
RT @Joy105com: MAJOR News!!! 💎💎It will be one of the hottest🔥 venues in Philly!!! It will house all types of events from 🎟LIVE Nation conce…,4.0
"RT @LaliGanguli: ICELAND wth slightly over 300,000 peeps forced a draw agnst Arg*tina, which included  a penalty  FACT-5 players are doctor…",4.0
"RT @meghantonjes: ALSO it’s “cool” to hate security. But, it’s 2018. People are killed at movie theaters, schools, walking down the street…",0.0
RT @UdehMadu: I created a video that put together scenes from 80+ black movies from the 70's to now into one story. I hope to one day work…,4.0
RT @yngmojo: Because we not on no rape shit girls gotta make da first move 🤷🏾‍♂️ https://t.co/6cR2Pj4asv,0.0
Super Mama With StepDaughter Sucking Teen Boy  https://t.co/0Eq3Js3sof   rachel steele 3some porn movies xxx teen3ways com ean cody threeway free video xxx incest taboo porn movies japan pronpros mamand son hit com video xnxx tags step daughter g,2.0
