tweet_text,prediction
RT @WhyYouMentionMe: Had me thinking I was sitting in the wrong Movie 😐 https://t.co/m2mHVHMjWt,2.0
@milliesantorox Where can I find horny barmaid full and free😊 movie of yours?? Please send me a link 😊😊kiss 😘😘😘,0.0
RT @MsAmberPRiley: Why didn’t anyone warn me about that movie Coco 😩 I am embarrassed at how hard I cried watching a cartoon. 1) Mexican cu…,0.0
RT @AnneBillson: Ten years since I wrote this piece about horror movies. (The last line is a heartbreaker.) https://t.co/mxTg0MUPcA,4.0
"RT @SolanoSheriff: Jurassic World Movie Star visits Solano County, Vacaville.  Tonight, actor Chris Pratt came out to give support for Sola…",2.0
RT @MarkDice: So actor Peter Fonda (@IAmFonda) calls for Trump’s 12 year old son to be raped by pedophiles and @SonyPictures is still relea…,0.0
Bet love Tyler Perry movies..,4.0
@promisingcatie i had a really big crush on him when i watched this movie hes so cute,2.0
@rag_sec This should help you out! https://t.co/lFHYYrVkuU,0.0
Tyler Perry movies are all alike 😴 https://t.co/4y69ZvqklL,4.0
"RT @javhdphotos: Caribbeancom 061618-687 (Uncensored) ✨Download full movie 1,4gb✨ 👉https://t.co/A4PM9D6pD0 https://t.co/d60CyXbXPt",2.0
"“we’re dead, we’re dead, we survived, but we’re dead”  -dash, the incredibles https://t.co/7szJESs3Vv",4.0
and cdrama and thai movies 😆 https://t.co/o7vhrNMfk1,0.0
@MoviePass_CS you having problems with the app? I'm seeing movies populated (available) at theater that I've already seen.,4.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
The only good logical thing in this movie is the start with Goldblum.,0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @Rasyidharry: \"ISLE OF DOGS\" Simple yet meaningful story laid on a solid world-building background, painted with Anderson's rich visual…",0.0
Different drummers  Equilibrium Daddy's little girls https://t.co/RmQgJjwhgg,0.0
"RT @rathi_saurav: Just watched #October I am in loss of words!! Have not seen many Hindi movies which is so simple, so real.. Congrats @Ban…",0.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"@alan_wardlaw Totally agree, followed by a kebab on the way up the road with your favourite Snuff movie and a can of monster!  Perfect evening",2.0
"RT @BIYONDHAPPY: Kim Hanbin 😭❤️ So much meaning~ The movie (The Truman Show) lines: \"Good morning, and in case I dont see ya, good afternoo…",4.0
bbw dirty camgirl @ beautifuldirtyangelscom  https://t.co/EJrmX2W7rS   http://www juvmovies com/saxi ass moviz beg htm Mslutload free mobile amateur sa durban porn gay chubby asian movie girl doing fuck with her father dailymotion brother sister,2.0
"RT @shawndadarice1: Hell yeah, last night was BEAUTIFUL!!!  Idk about the East coast yet, but our next scrng is likely to be down in Hollyw…",4.0
RT @_Newtmasangster: @laaura2102 @OttersHedgehog It upsets me sm how some people are blinded by their hatred of Teresa so they don't see th…,0.0
@DisneyChannel This movie is going to be good #DisneyFreakyFriday,2.0
@FreddyInSpace @cameraviscera Oh yeah because comparing a murderous psychopath to fans who critique shitty movies is REALLY accurate.,0.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
"RT @myhalbig123: Currently at a movie theatre in Aurora, Colorado. #sketchy 😬",2.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
RT @RXMANSPHOENIX: asian female lead. female director. a movie adaptation of a YA book that actually looks like it’s gonna be good?! I’m he…,4.0
Male to anal gay porn movie Jeremiah &amp;amp_ Shane - Undie Shoot by  https://t.co/MFospxio9g   dads vs twinks movies dadtwinks hotgaypornlist com gay amateurs tumblr gay-trimmed gay jocks tube african free gay masturbation,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
FUCK YES!!!!!!  It better be at least 4 hours long. https://t.co/znEwPVKmCP,4.0
"Things i love my dreams are bcs theyre like a fiction movie from the start to the end. But this one i just got. Its pretty scary, its like a horror movie. Nak balik hm tak nak duduk kolej",4.0
"RT @Svetlana555K3: The King of Bollywood, the King of Hearts, the world biggest movie star, the most talented &amp; versatile ACTOR, the most a…",2.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
"New Joker Movies, Wonder Woman 2, Aquaman https://t.co/Al1FGLU9J5 via @YouTube",2.0
"RT @sterlingquill: Look, @nbc. I’m not gonna lie. A movie isn’t ideal. I’d rather #SaveTimeless and get ten more seasons of this wonderful…",0.0
watching movies 🙂,4.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
RT @MsAmberPRiley: Why didn’t anyone warn me about that movie Coco 😩 I am embarrassed at how hard I cried watching a cartoon. 1) Mexican cu…,0.0
RT @hanxine: A non shitty teen movie? With an Asian female lead? I stan https://t.co/b5f7vnMhuo,2.0
Saving seats at a movie theater sucks ass,0.0
Remember the Titans is such a good movie,4.0
So happy this movie did well. RT @screenrant: #JurassicWorldFallenKingdom just roared past $700 million at the worldwide box office.  https://t.co/qSsYUPYoVT https://t.co/ZviS4jbJ2K,4.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
RT @astran_r94: I ain’t tripping if someone scoops me to go watch the new dinosaur movie 🙇🏻‍♂️🙇🏻‍♂️,2.0
why are my dad and tayya abu watching this shitty pakistani movie,2.0
"YOU DECIDE WHAT BEAUTY IS  Just be whatever God made you. Get comfortable with it and be the best, happiest person you can be  Ignore those idiots that print magazines, make movies, and do TV commercials. I don't trust their opinions on ANYTHING, especially politics and beauty!",0.0
RT @jav_clip: Lovable cutie gapes narrow crack and gets deflorated  Watch Full Movies ==&gt; https://t.co/gefq7wppSi https://t.co/tU5JgPNsMb,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"So did the summer movie season peak this weekend with JURASSIC WORLD 2? Not so fast. If you listen carefully, you can hear a big sound coming from a tiny little man. ANT-MAN that is, &amp; this time he's brought a friend known as The Wasp. Their message? The box office derby ain't ov",0.0
"@friendly_roach My advice is that when you are reading a book or watching a movie, pay attention to what you like (or dislike) about it, and try to figure out why.  Also, don't be afraid to steal what works. It works for a reason.",0.0
True https://t.co/pb1KylZHdr,2.0
Nothing worse than half way through a movie realizing the audio is just sliiiiightly off,4.0
"RT @FilmStruck: Stream movies that celebrate LGBTQ cinema along with hundreds of Hollywood classics, indie, arthouse and foreign films.",0.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
@DaveBautista Huge fan of you Dave. This policy has been around since Clinton and enforced all the way through Obama. Trump stopped it and we still need stronger border security. Cant wait to see your new movie.,2.0
RT @hannahydavies: Petition for Universal Studios to build Spooky Island from the Scooby Doo movie https://t.co/9gCeEJtkZg,2.0
RT @Man_isssh: Watching dubbed movies be like https://t.co/4pvnL7mlUU,4.0
