tweet_text,prediction
RT @AngryRaccoon2: I can go hours with peeing at home but in a movie theatre my bladder is instantly the size of an atom. Discuss.,0.0
"RT @THM_Off: First, you should know the basic things. Producers revenue &amp; expenses. And what is Non Refundable advance, Minimum Guarantee,…",0.0
"RT @SRKsYODDHA: From Nothing to Everything , Inspiration for millions of people's .  @iamsrk Shah Rukh Khan - The Biggest Movie Star In The…",2.0
"@prchovanec The Hunt, with the great Mads Mikkelsen is a powerful movie",4.0
The new Jack Black movie looks awful. #POLCOL #WorldCup https://t.co/LEtSkkytnr,2.0
Damon called my favorite movie (The Notebook) predictable and cheesy. and I’m seriously on the verge of tears.,2.0
RT @joeytgarner: Took a shit on a plane today. My life is a movie💯👌🏼,0.0
RT @OriginalFunko: ICYMI - 2018 SDCC Exclusive Reveals: Movies! Check out our blog post for the full list! https://t.co/PxhU8CBog9 https://…,2.0
"RT @KidsHelpPhone: Kids Help Phone would like to thank @LandmarkCinemas cast &amp; crew for their incredible ongoing support! To celebrate, the…",0.0
RT @MEL2AUSA: Impress your date by taking them to see .@DineshDSouza’s must see movie!!!   🇺🇸🇺🇸 DEATH OF A NATION 🇺🇸🇺🇸  💥💥💥💥August 3rd💥💥💥💥…,2.0
Gay Interacial Hardcore Fuck Movie Tube 10  https://t.co/6VuuK912N9   genc kizlar anal porno move Hentai Blonde hentai teen fucked on train 3gp blacklisbian west indian teen gets fucked hardcore sfico interracial www ltsass assfucked tinnies,2.0
RT @AbbyRob13499287: Saturday morning time ⌚ for a coffee. Just uploaded new movies 🎥 and galleries to my site https://t.co/KtrGUnCELm,4.0
Horny #Shemale wants big cock deep in big ass 22 https://t.co/UFAldbyle1 #Movie #Porn #Shemaleidol #Shemales #Trans #Transexual #Transgender #Transsexual #Transvestite #Video,2.0
RT @Erotik_Center: Hot and wet Nicole Bexley takes dick because Moneytalks ! #Hardcore #Porn Movie &gt;&gt; https://t.co/I6hbr4zPvU &lt;&lt; https://t.…,2.0
G.I. Joe: Retaliation (2013) - Read 734 Movie Reviews  Link: https://t.co/V5AmMXu5fU  #GIJoeRetaliation,2.0
The Persistent Problems of the 'Jurassic Park' Franchise https://t.co/IdLtiwT8cr via @thr,2.0
RT @Imadancer821: Trump-Friendly Florida AG Pam Bondi Driven Out Of Movie Theater: ‘Shame On You’ https://t.co/ATGSjQsTJL via @dailycaller,2.0
The real answer is   Best first movie: Homecoming Best sequel: GOTG Vol 2 Best Third Movie: Infinity War https://t.co/Ou6cmw6fS2,4.0
#ArmitageJackmanInOneMovie that's how I would see Mr. Jackman's outfits in my idea of movie with them as brothers. Left: as a Lawyer (an undercover) Right: Gangster https://t.co/JgRSnoa1nz,0.0
RT @nerdist: Our 13 favorite Han/Leia shipping moments from every #StarWars movie. https://t.co/X9ynDKr2Ud https://t.co/DxKIbu1a1g,2.0
Hot young babe gangbanged by old guy  https://t.co/NmL5dqt6Hr   www tiffany teen xnxx get fucked in hardcore porn movies perla amateur russian matuer gallery suid afrikaanse amateur porno video asiansex com old vs young tight pussy fucked for the,2.0
RT @Herbert_L_Reed: This must stop. Please make a statement on it @realDonaldTrump sir. https://t.co/toOUPJWH6a,0.0
RT @josephslongo: Incredibles 2 cont: This movie is the perfect sequel to what is in my opinion the best Pixar movie. It allows the fans to…,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
Of course they weren’t going to top the first one but still a great movie!,4.0
RT @dhanush_nanda: First Indian Zombie Movie - #Miruthan   First Indian Space Movie - #TikTikTik   @actor_jayamravi Increased Indian Film S…,2.0
Horror movies don't scare me. 5 missed calls from Mom scares me.,0.0
RT @sakurabooty: JDNDKSK HELP HE LOOKS SO DIFFERENT BETWEEN THE TWO MOVIES https://t.co/ggmAZv2gcc,0.0
I actually wanna read The Kissing Booth to see if the movie came close,2.0
RT @bullockspompeo: only Sandra Bullock and Cate Blanchett matters but thanks https://t.co/7OKM2yd2vM,4.0
@MarinMazzie is included in this week's Shaun Berk's 10 Movie Recommendations at https://t.co/tDuvThHQRO,2.0
RT @Vegesnow: Dragon Ball Super - Movie character design https://t.co/ctD6piW3uU,2.0
TOM HOLLAND NEEDS TO STOP SPOILING THE GODDAMN MOVIE JESUS CHRIST SOMEONE STOP THIS KID,2.0
"I fuckin love corny young adult movies I genuinely do, and I like stuff like hunger games too but... there's just something about fantasy that makes me feel really happy and nostalgic",0.0
RT @SAmitisalab: @wolferkitten @therealroseanne @iamfonda @SonyPictures It should not be released @SonyPictures @iamfonda is a sad excuse t…,0.0
RT @AdamAlviso: i wanna go to the movies or just to go eat with someone,4.0
RT @lvsdjt45: @QueJayma @drCMike57 @TeenyLZP @theDeeLouis @AngryVoter2016 @maga4CAC @AnonymousInfo3 @Samieisawake @zenchic1 @RonRoot11 @Jud…,2.0
I’m finna get high asf and go watch incedibles 2 in the movies 😭😂,2.0
@M1SUNDERSTOD what movie o.O,0.0
RT @AlphaTemptressx: I’m spending my day with the most important person in my life; my daughter. She’s being raised by a powerful dominant…,0.0
@jordanw5432 Yep and even though it might not atract as much people due to the movie being based off a video game....i can still see the movie making alot.....the max they would spend on this movie i would say is by 1 mil.....but it all depends on how much they go in depth,0.0
"RT @Thando_TooShort: I love kisses so much, there could never be a good or bad day for them. https://t.co/03B8o2dIEN",4.0
RT @ajsileo914: @jaketapper @RichardDreyfuss Haha I was hiding from that shark in the movie on dryer land!! AJ @ajsileo914,2.0
Oh HELL NO!!  ENOUGH IS ENOUGH!  Conservatives have been abused by the left long enough!  Time to start fighting back! https://t.co/jL2v1vXtAI,0.0
Current situation and I’m going to the movies to watch Solo later #SundayFunday https://t.co/hGfMm1per1,2.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @AcneSkinSite: Stress Free = AcneFree  Manage Stress   Yoga Prayer Exercise Play Golf Stretching Meditation Do Puzzles Eat healthy Slow…,4.0
RT @vermont1991: Shawshank Redemption is one of the top 5 movies of all time.,4.0
@imtpot Lmaoooooooo man I put this on everything I love I been trynna figure out the name of that movie kmfsl omg,0.0
@BassBlasted @relicsxruins Sure. [ It was a good movie but he wasn’t going to admit to having watched it.],4.0
@ThoughtfulBayer i havent watched the movie,2.0
Just got back from @VISITFLORIDA and what’s the first thing the kids want to do? Watch @TheIncredibles! Good choice #SundayMorning #TheIncredibles2 #movies #familytime #dotsdestinations #lifestyleblog,0.0
What's Going on with the 'Star Wars' Spin-Off Movies? New Development Details Emerge https://t.co/lDamXuByG7 https://t.co/pcyx4EKzHN,2.0
RT @MahanatiTheFilm: #NadigaiyarThilagam &amp; #IrumbuThirai Movie Succes Meet Celebration At #SandaKozhi2 Shooting Spot ! @KeerthyOfficial @Vi…,2.0
"@VictoriaLAlbers Tell me what you think of the movie when you get back, Victoria!  You can DM me if you want! 😊",0.0
"▶️ Now Playing on OSN Movies Thriller: The Hexecutioners IMDB: 4.2 Starring: Liv Collins, Sarah Power ⏭ Next @ 23:50 KSA: Dark Water IMDB: 5.6 Starring: Jennifer Connelly, John C. Reilly",2.0
Somebody needs to talk some sense into this stupid network...r u guys really using @priyankachopra as an example to talk about women who need men to make their movies successful?  Douchebags.she has got this far on her fan..no godfather and no khan or bhansali to back her https://t.co/1T5AQlv3fG,0.0
"@lilithepunk Yes. But according to Peterson we can just usurp all of them, too, and then \"jail or enslave them\", so I guess we can look it at like he just figured out a way to weed the small-minded out.    @UniversalHorror --new Purge movie idea? 😂😂",0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
Sex Tape With Slut Busty Office Girl (alexa pierce) video-02  https://t.co/EhwCGg9rwn   hardcore schocker video kenzi marie big tits school free watch kashmirboobs com amateur movierporn cristen girl fuck busty mom free yoiuporn movies senior man,2.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @SrkajolBig: #13YearsOfPaheli 🎉🎉🎉 Beautiful movie &amp; beautiful couple😍😍😍  #ShahRukhKhan &amp; #RaniMukerji  @iamsrk 💕💕💕 https://t.co/19qRN3kI…,2.0
"If and when this is ever reversed, I don't want to hear peep of complaint out of the \"news\" media or Hollywood SJWs who are silently snickering at all this, or are justifying it. Not one word, later, you effing hypocrites. https://t.co/Avq7LRsNTe",0.0
@WahajZia This news looks like past and copy from Hollywood movie,2.0
S and Diana Kissing Part3 Video2 Preview  https://t.co/sBREYFm8TZ   kiss teen lezba sex video iranian girls kissing porn tongue kissing yaoi free granny french kissing movies tongue kissing lesbians,4.0
"RT @SupesBatsy: So, Marvel got Spider-Man's movie rights and we got: -SM in Germany -no Uncle Ben -SM not swinging on skyscrapers -SM not a…",0.0
RT @_Sineziwe: Yes. Yes. Yes 😍 https://t.co/7QcgQBsylj,4.0
RT @Amat_Porn: 📽➡ https://t.co/jSKVmziMkB  🔞 Lily Rader invites you over for a movie and she is #horny too https://t.co/t93MZCzM9n,0.0
RT @woIvern: “i haven’t seen the falcon movie ... oh wait there isn’t one” THE DEVIL WORKS HARD BUT TOM HOLLAND WORKS HARDER https://t.co/k…,2.0
"RT @Akki_Ka_Deewana: I wish movie mein 2-3 bengali dialogues ho, like s26!   GOLD TRAILER DAY",2.0
Get free access to HQ hard movies ➽ https://t.co/0CSWyLvpzN fucking cum movies tube pornstar videos teen freeporn https://t.co/5X724gO0k0,2.0
Thread of @StheBee : https://t.co/TyfP8gFuy0,2.0
RT @_orje: Imagine going to the movies and just kissing the whole time. What a waste of twenty five credits. Jeez,0.0
RT @LASTEXITshirts: Want to see something really scary? Twilight Zone the Movie is 35 years old today.  What's the best story in it? https:…,4.0
RT @OnePerfectShot: It's a bird! It's a plane! It's our super-sized list of the greatest superhero movies of all time! https://t.co/oXf7uIJ…,0.0
BET been showing madea movies all week damn😭,0.0
RT @gothsloki: fuck my ratio i want new mutuals gain tweet! so rt if you stan  - the whole mcu - tom hiddleston - loki - tom oohwooh hiddle…,4.0
"RT @THEMAZEKILLS: friendly reminder that the last word ever said in the maze runner movies franchise is \"newt\" by thomas brodie sangster wh…",4.0
"RT @44mmvvpp: Protesters confronted Florida AG Pam Bondi as she left a movie screening of Mr.  Rogers, \"Won't You Be My Neighbor?\" \"What wo…",2.0
“I have been the biggest fan of Shah Rukh Khan since my childhood. I have watched all his movies &amp; my favorite is #DilwaleDulhaniaLeJayenge. I would love to be his heroine someday. I also admire his personality. He is a brilliant actor &amp; can pull off #26GoldenYearsOfKingKhan https://t.co/POiqJE0tRQ,4.0
I liked a @YouTube video https://t.co/EDfhIrautA Uncle Drew 2018 Movie Official Trailer #Kyrie Irving Shaq Lil Rel Tiffan,2.0
Agora na Melody 94.1: CUT´N MOVIE - GIVE IT UP - 93,2.0
Race 3 wat  a nice movie😇😇,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
RT @AmericanIndian8: Wind River Full Movie https://t.co/IyiFIitnL7  #MMNAWG #MMIW #MMIWG  #INDIGENOUS #TAIRP https://t.co/4KtYICjjb5,2.0
@AceBuBb @TheRealKillerrr cat used to work at lighthouse gettin worked lol https://t.co/IfhY2w1rzX,0.0
RT @tumblrbhoi: ©® exo's kai + blackpink's jennie ✨ movie manip ✨ #jennie #jongin [ like + rt if you save or use it ] https://t.co/0nTHaVwp…,0.0
Movies 🤔🤔🤔🤔,2.0
RT @IGN: 3 classic Dragon Ball Z movies have been remastered for theatrical release! 🙌🔥.  Are you going to see them when they come out this…,0.0
"Ang weird nung \"Keep the change\" ma movie... 🙄",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
When a girl gives you a pencil and Spanish class and says you should hangout sometime and you go back and tell all your friends. https://t.co/pjv4aHM5CU,4.0
#Repost @ms.lotlotdeleo Movie night with the kids and when the lights turned on Dad and Mariel were there too ❤ Happy happy Sunday indeed! 😍😍😍 Night everyone and a blessed week ahead! 😘💞🙏… https://t.co/17ECDZo17F,4.0
