tweet_text,prediction
RT @thyxvoid: best mcu films ranked   15. it's hard 14. to rank 13. movies from 12. the same franchise  11. from best to 10. worst as 9. ea…,4.0
RT @JADAAMlRA: the only good thing to come out of the twilight movies is the song ‘decode’ by paramore,0.0
RT @matigary: Whoever arranged in-flight WiFi at 34000 feet in the sky is a genius. Very good connection and lots of data especially if you…,4.0
"@JLo I \"used\" to like you.  STAY OUT OF POLITICS YOU PATHETIC SO CALLED MOVIE STARS.",0.0
"I don’t like movies with cut scenes, show it the way it was intended",0.0
"I SAW THR LAST AVENGERS ( THE SECOND ONE)ROUND THREE LAST NIGHT. AND WOW,, RIGHT UP THERE WITH THE FIRST AND THIRD ONES. ALMOST WISH I COULD GIVE IT 3 THUMBS, I GIVE IT 6TOTAL (2 IN THRICE INSTANCES). I THINK TOTAL COUNTS TOO BUT I AM CRITIC, MAYBE GEtting TO INTELLECTUAL #MOVIES https://t.co/DDCROwztRr",4.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
@jWreck10 Tis is true. I love movies😎,4.0
RT @PopCrave: What’s @Netflix’s best original movie? https://t.co/akcgsWT40L,4.0
"RT @eroticsens: DANDY-554 Jin Yuki, Mishima Natsuko, Konoka Yura For Watch Full Movie #JAV #brazzers #bangbros #asian Visit  Link 1:  https…",2.0
"RT @ShoyebK26396681: #26GoldenYearsOfKingKhan Happiness Is Being Crazy FOR Each And Every Look,Movie, Endorsement,Speech,Song OF SRK ♥️😍",2.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
"RT @JamesGunn: Stick to desperately wanting someone, anyone, to love you, but no one will, so you create a “troll account” to get negative…",4.0
RT @CurrenSy_Spitta: This Uber driver is clearly auditioning for the new “transporter” movie.... fuck man... I wanna say slow down but it’s…,0.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
"RT @GregBaldwinIroh: I don't always plug movies I stream but when I do I plug \"The Death Of Stalin.\"  A SERIOUSLY dark comedy, comrades.",4.0
RT @hemsolo: sebastian stan right now has a contract to film nine marvel movies. he has 5 more after infinity war. he’s going to finish out…,0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
I liked a @YouTube video https://t.co/TOhmDXgSvJ New York Movies and Outing |Graduation 🎓 Weekend 2018,4.0
