tweet_text,prediction
RT @MichaelTibollo: Great meeting @SimuLiu from the hit TV show Kim’s Convenience and Hollywood Superstar @Robert_Maillet from movies such…,4.0
"Read this comment, and sign the petition. Bugs life is one of my favorite Pixar movie. Please save Flik  https://t.co/6O32ABZkbs via @Change",2.0
Real straightbait jock cant cum for gay pal 25  https://t.co/Gp0oDQuFCR   orton gay porn movie www homo sex video download,2.0
"“This case reads like a movie script. It’s just more like a horror movie.\" https://t.co/Zo3icGHEqJ",0.0
https://t.co/B2tQ56dVO6  porn clips upload video have blowjob free sex brazzers dagfs bollywood nudes hd hdv pass sex sex movies pornhub hardcore chat xnxx video dogfart network girl redtube licking upskirt hookups big ass out of the family austria,4.0
NEW LISTING! Check out A Nightmare on Elm Street Collection: Original Movies 1-7 - New Sealed Blu-ray  https://t.co/VBZWlt8wXe via @eBay,2.0
I liked a @YouTube video https://t.co/curCOtyEgf Zatoichi TV series season 2 (1974) 【 Episode 07】 Samurai Movies,2.0
RT @SreeMukhigoud15: @TheDeverakonda  baby 4 movies on the way   Woohoo😍💓💃😘💞💃  Thanks for giving us such a amazing movies💕😍  Feeling so exc…,4.0
My family is in Lafayette and im stressing bc I haven’t been able to go find them yet😭 https://t.co/dUa8N3DSV5,4.0
gay army sexy males xxx Good Anal Training  https://t.co/ZIogb8JSsa   tamilgaypenis images chris brown having gaysex porn video sudan gayporn gay blowjob movie gay military rape sex video black gay 3someporn www free download video gay army com,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
RT @danielmarven: The 90 day rule only works in movies.,0.0
RT @DCFUniverse: I'm still waiting for this movie #ReleaseTheSynderCut https://t.co/ApRXd417cd,2.0
"#13 : Inside out, by Pete Docter, 2015. Starring Mindy Kaling, Mindy Kaling, Lewis Black, Bill Hader and Phyllis Smith. #movie #cinema #film #SundayMotivation #onefilmaday #USA #Pixar https://t.co/oxI4l6W8ir",2.0
RT @MwDelvecc: Just saw a family wearing matching Jurassic Park T-shirts and walking into the movies.  This is why films are important. The…,0.0
#Napoleon Part 1 #Amazon #Prime #Movie  #Brilliant portrayal of the #French #Emperor  staring#JohnMalcovich #GerardDepardieu #IsabellaRosselini https://t.co/K6YZXMwj30 https://t.co/2160GvT0dE,2.0
Thank you coming out and for supporting our fundraiser! We are so appreciative! https://t.co/1wcbgXFkxh,0.0
"\"In each of us, two natures are at war -- the #good and the #evil. …\" —  Dr. Jekyll and Mr. Hyde (1920) #USA Silent #Movie Opening Line #Quote https://t.co/ZYoUSMcJZ1",2.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
RT @_Mr_jp3: Go check out the latest episode #12  We discuss:  Trailers: Spiderman: into the Spider-Verse Bumblebee Movie The Lego Movie 2:…,2.0
I can’t believe they’re still making Purge movies,0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @Adeel95Malik: @SabinaLamba @BeingSalmanKhan @atulreellife @khanarpita @arbaazSkhan I don’t want to blame Remo, bcz he just got one mont…",4.0
@spoonfayse if only the movie was 100%  about mew fooling around xD https://t.co/pYSYvPlcb4,2.0
RT @Neoavatara: People aren't going to like how these fascist tactics end up. https://t.co/493Pb2dkgy,2.0
RT @MwDelvecc: Just saw a family wearing matching Jurassic Park T-shirts and walking into the movies.  This is why films are important. The…,0.0
RT @OriginalFunko: ICYMI - 2018 SDCC Exclusive Reveals: Movies! Check out our blog post for the full list! https://t.co/PxhU8CBog9 https://…,2.0
"RT @bradmiska: I just got to see Judgment Night in a theater. One of my all time favorite movies. Bucket list item, check! Thanks @cinepoca…",4.0
@uzeeusman @SILVERBIRDCINEM @yakubumohammed_ @Rahma_sadau @LandnInt @africamagictv @africanacouture @DangoteGroup @AirAzman @dlawal1 @tstvafrica @GloWorld @Nestle @bluepicturesng @skye9tv Great collaboration-Nollywood meets Kannywood. This star-studded movie premier would surely be an amazing one. Bravo to the team that put this up!,2.0
RT @TellTaleTV_: #SaveTimeless: 13 Reasons #Timeless Needs a Season 3 (or at least the movie!) https://t.co/6h2FlB6Ohz https://t.co/OhfO8F7…,2.0
RT @joeAaron_: Awh yeah you in yo mf bag 🔥🔥 https://t.co/FMDBWDcBzW,4.0
Remember the Titans will always be one of the best movies,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
Just saw the latest Jurassic movie. Very good!,4.0
"RT @ausraura1: I watched #GotGVol2 today and OMG what a movie, so funny and so emotional, a little SPOILER i cried when Peter cried https:/…",0.0
RT @lNFlNITYSTARK: the winter soldier is dubbed as the best mcu movie and also the best second movie   ragnarok is one of the best mcu movi…,4.0
@Conrguy @elaineroberts @nursebeth1011 @thehill And you must serve people who come into your restaurant or movie theater. That’s just a given. https://t.co/qfPrb1aeit,2.0
"Such an awesome movie \"Love Per Square Foot\". Totally loved .@angira_dhar and .@vickykaushal09 https://t.co/rzUPih8lPu",4.0
"The Truman Show is one of the greatest god damn movies ever made, @yayab_13 is insane for hating it",4.0
RT @80sAllOver: New episode later tonight! It's the movies of September 1983!,4.0
RT @obliviouspisces: Basically 😂 https://t.co/Z2nzqa5C6A,2.0
RT @goldengateblond: OH NOES! say those who think MLK’s wish to judge people by the content of their character was the plot of a horror mov…,0.0
I feel attacked I could’ve seen Chris Pratt :( https://t.co/KDFwFdxiQO,4.0
Want to speak Japanese like your favorite movie character? Now you can with #JapaneseMovieScripts! https://t.co/c7l4K1lSvM,4.0
For real ? https://t.co/1M9vUWPtkS,4.0
Ebony Shemale Brii Plays With Her Big Cock  https://t.co/Vr5z99x28f   teen gay cumshots blacknude pic south africa free porn hislut com ebony man and wife mutual masturbation videos free ebony solo full movies freeipadtranny jacqueline boing boin,2.0
"24) Favorite Pre-code movie. My favorite era. Going with two: Red Headed Woman, ending had me fall-down laughing bc I didn’t expect it. Also The Divorcee’ for its honest portrayal of modern marriage and infidelity #JuneMovieChallenge https://t.co/MaAMCNsny1",2.0
"RT @stanweirdo: \"ant-man and the wasp is marvel's best sequel since the winter soldier\" CAN YOU HEAR ME SCREAMINGSAKDJALSD IM SO READY http…",0.0
"RT @rejects: Jurassic Park Movies, Ranked:  1. Jurassic Park",2.0
"RT @IssaSassyBitch: If you are lonely, dim all lights and put on a horror-movie. After a while it wont feel like you are alone anymore.",0.0
"Yes, please! https://t.co/xXG6dsWwxN",4.0
RT @IamKingPromise: last night was a movie 💥💥💥😲😫 Thank You Germany !!!!💚💚,4.0
The Drive-in was packed last night @prattprattpratt I mean every freaking spot was taken. The concession line lasted half way through the movie. Hardly anyone at screen two for incredibles LOL. https://t.co/AVveMaQDOy,4.0
RT @gothsloki: fuck my ratio i want new mutuals gain tweet! so rt if you stan  - the whole mcu - tom hiddleston - loki - tom oohwooh hiddle…,4.0
"Did anyone show up to court to witness @sibeledmonds expose the #MotherlodeFiles from Chicago FBI, showing #Gulen connections to Mafia Gov or notice she explained Gulen's network was used to do what you refer to, since BClinton? And DETAILED IT ALREADY? https://t.co/NN63mmDLkS https://t.co/rJqNP62GPD",0.0
"RT @WeAllFloat1987: Oh boy, I can't wait to see where Peter and pals are going in \"Far From Home.\" They went to DC in the first movie.  May…",0.0
RT @shivani_keerthy: @KeerthyOfficial sister from the beginning to the end unga performance ku chance eh illa. Ovoru scenes pakumbothum the…,4.0
RT @torriflowers18: best scene from the best movie https://t.co/gtQW4mX6Ev,4.0
RT @Bertieschip: Super #supercarsunday 📽📺 movie stars👌🏼 https://t.co/BQ9ED3jl8D,2.0
RT @BMalaika1: I tasked my movie guy to find a way to deliver to his clients. I have been a client for 3 years. If you do a certain busines…,4.0
RT @hstian9812: wishing @alexisfawx a happy birthday - hope you get a wonderful day - love your scenes and movies https://t.co/X60d6vqS0W,4.0
Paul Molitor will sit next to you in an empty movie theater.,2.0
"RT @moaningwaynes: This scene is happening in 2015, which means before the events of Dawn of Justice and he's still wearing the suit he get…",0.0
@ieEntertainment @BeingSalmanKhan @tipsofficial A movie JAI HO they are couple  A movie RACE 3 they are brother and sister (blood relative...)  Wow...  Bollywood you making lot of joke on our culture..,0.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
@kimpz_1130 I fell for peter sa book! Im going to fall for him sa movie! Kitty is cute here Sana I will like her sa book she annoyed the shit out of me hahahaha,0.0
RT @ActionBronson: I REALLY SHAVED THE BEARD OFF FOR THIS NEW MOVIE IM DOING WITH JACKIE CHAN. DON’T TELL NOBODY.,2.0
RT @BeingSalmanKhan: I thank every 1 who has gone to see #Race3 in the theaters n each n every 1 individually for watching race n glad that…,2.0
Seeing a movie with your preschool-aged nephew is a whole ‘nother OTHER level of joy you never knew could exist. #jurrassicpark #SOHAPPY,0.0
Two things I have trouble wrapping my head around.  “Cosmic Time” and “How a movie can cost $500M”. @RealRonHoward @MNightShyamalan  @MoviesWrld @RegalMovies @neiltyson,0.0
Predator 2 [1990] Movie Review https://t.co/ApmG9Ww1Eh,2.0
"RT @TonyKrvaric: From the self-anointed champions of tolerance and diversity. Not to mention \"empowering women.\" #moderndemocrats https://t…",0.0
RT @iamsrk_brk: 26 Years of World's Biggest Movie Star. 26 Years of World's Richest Actor. 26 Years of World's Greatest Actor. 26 Years of…,4.0
"RT @ManaByte: I want a movie with Spider-Man, Falcon, and Bucky. Like Three Amigos in the MCU.",0.0
I yelled goddamn she thick in the movie theater when @rihanna came out in that dress 😂😂😂😂,0.0
RT @zachbraff: A teenager asked me for some good movies a teenager should see. Here’s my list: https://t.co/ZChYLkhTYJ,0.0
"Immunotherapy has been advancing so much in recent years that they’ve even started using it for Huntington’s disease treatments, AND REAPING POSITIVE RESULTS. This is huge. https://t.co/hqLqb6Rnkj",0.0
Why tho... https://t.co/HKSA59Lw5X,0.0
"RT @h_hazra: Be it trailer, music, supporting cast, director.. Everything was bad about Race3, yet your fans went and watch the movie only…",2.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
RT @hallejordannnn: I really really want to go to a drive in movie,4.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"RT @BookerT5x: Myself &amp; @bradgilmore talk about #Vader, #BigCass, a response recent criticism, @stipemiocic v. @dc_mma, and where does #Cre…",2.0
"🎬MOVIE HISTORY: 24 years ago today, June 24, 1994, the movie ‘Wyatt Earp’ opened in theaters!  #KevinCostner #DennisQuaid #GeneHackman #DavidAndrews #LindenAshby #JimCaviezel #JohnDoe #JeffFahey #JoannaGoing #MarkHarmon #MichaelMadsen #CatherineOHara #BillPullman #TeaLeoni https://t.co/XrD0mJwr7u",2.0
RT @shckldg: Scarlet Johansson can't wait to audition. https://t.co/DOqPwuO07S,0.0
RT @connerhunt_: @wann317 killed the visual once again. 🎯 https://t.co/DUQ9c8QIYO,0.0
RT @PoliticusSarah: Looks like America has enough of Republican lies. https://t.co/NRyrIymUrP,0.0
"RT @Robynkat_m: i miss being in the presence of someone i really like.  the listening to music, watching movies/series, small talk, and chi…",0.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
@BreitbartNews I liked her in that one movie....Thelma &amp; Louise,2.0
The Reluctant Fundamentalist is a cinematic masterpiece and it makes me sad how underrated it is. If the main character was a white dude the movie would have been hailed a classic. It deserved an Oscar nom.,0.0
find6xyz slut sweetymomm Fucking on live webcam  https://t.co/NWJ8yFdaVY   vedio ibu rmh tngga sex jepang porn soloebonyporn husband wife masturbate each other movies xxxxwebcam indian adult webcamshow cams virgin asshole cracking porno,2.0
RT @colintrevorrow: Thank you to audiences around the world for going to the movies this weekend. We hope you had a blast. @FilmBayona @Bra…,4.0
RT @cracknee: minho: someone recommend me a good horror movie  kibum: The Reflection  minho: where can i find it   kibum: the mirror,0.0
"@SteeleWars Only mainstream media, Lucasfilm themselves and people who liked TLJ. You know, just a handful of people. If I hate a movie other people liked, I don't call them names, just because I disagree.",0.0
I can watch kiddy movies around my man and feel no shame whatsoever because he’s childish too 🤷🏽‍♀️,0.0
RT @KNVofficial2: It's a New Record in YouTube 🏆  1. Ajith's #Vivegam Movie 25Million in 6Days With 192K Likes   2. AlluArjun's #Sarrainodu…,2.0
"RT @Signs2323: Snyder’s cut doesn’t need millions to finish, nor does it need to be remade like the last Jedi. It exists in full already wi…",0.0
@J0rdii__ Yasss! I cried more times than I should share during that movie lol,0.0
@ClawsTNT Having a shitty ex is just like being in a horror movie! When you see him RUNNNNNNNN BITCH RUNNNN! Don’t fall while running tho that’s how you land back on the 🍆 https://t.co/GJqqyRzgfE,0.0
"RT @NetflixLifee: .@starwars: The Last Jedi is coming to Netflix on Tuesday, June 26. Here’s when the movie is added to Netflix in your tim…",0.0
"They wanna remake The Last Jedi, but nobody's mentioned redoing the latest Ghostbusters with a script worthy of the cast. That could've been a much better movie. Not terrible, but they wasted what they had to work with.",0.0
16mm film -ANY GIVEN SUNDAY-UNCUT-OLIVER STONE-1999 L.P.P https://t.co/q7QMSzEaJe https://t.co/SyN0s4jhsF,2.0
在高雄家裏操女友，聲音放蕩  https://t.co/dYcpDp8m1l   carribean hardcore fuck movies daryl morgan video blowjob amateur teen unwanted creampie croatian homemade iternacial free mobile mariana cordoba self titjob asiangrandpa sex in b,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @gatx_negrx: ATTENTION WHITE PEOPLE GET YOUR ONE COUSIN AND COWORKERS AND YOUR DAMN ACCOUNTANT UP IN THIS BITXH BLOCK THEM CARS DO THE W…,2.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
@PhathuMakwarela @MNet Interesting movie.,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
Time to start stalking the stalkers. Florida AG Pam Bondi Harassed By Protesters Outside Mister Rogers Movie https://t.co/rGofg9kCmB via @weaselzippers,2.0
RT @AuthorMBTosi: The Crimson Path of Honor-Rich descriptions make it feel like a movie unfolding. #Sioux https://t.co/W51FVNIvXR,2.0
RT @uzeeusman: You are invited 2 D premiere of D movie FANTASTIC NUMBERS 28-06-2018 at @SILVERBIRDCINEM Abuja:6pm prompt @yakubumohammed_…,4.0
RT @thyxvoid: best mcu films ranked   15. it's hard 14. to rank 13. movies from 12. the same franchise  11. from best to 10. worst as 9. ea…,4.0
New post (Tom Holland drops the title of the next Spider-Man movie while at Ace Comic-Con in Seattle) has been published on Celeb Central - https://t.co/ri80BqFlN6 https://t.co/HglWExATbG,2.0
Trump scandals  https://t.co/xUV7C1qJ84,2.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
"RT @thehill: Protestors drive Florida AG out of screening of Mr. Roger's movie: \"What would Mr. Rogers think about you?\" https://t.co/glmXW…",2.0
RT @TUG_Chrisdawg: NSU Fall 2018 bouta be a movie  🎥🎬,2.0
RT @MerlisaDworld: #Movieset of LONE STAR DECEPTION (Political crime drama) #onset #movie #actress #actor #actorslife #redlips #reddress ch…,2.0
RT @KingsSRKian_: SHAH RUKH KHAN  Box office HITS: 28  Blockbuster: 09  Awards Filmfare: 15 Total: 273  Popularity According to a Popularit…,4.0
@willmoriarty86 Shocking revelation. Your movie takes are usually so mainstream,2.0
RT @its_USP10: Discovery Channel made a Documentary of World's Biggest Movie Star featuring Shah Rukh Khan. It takes years to make this sta…,2.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
I'v been recommending this excellent film to all my film buddies. A great horror movie.  https://t.co/itEhmBRnwt Marksman @Antonmarks https://t.co/uyUvwNa46w,4.0
RT @Herbert_L_Reed: This must stop. Please make a statement on it @realDonaldTrump sir. https://t.co/toOUPJWH6a,0.0
RT @Herbert_L_Reed: This must stop. Please make a statement on it @realDonaldTrump sir. https://t.co/toOUPJWH6a,0.0
RT @eavesdropann: Trump-Friendly Florida AG Pam Bondi Driven Out Of Movie Theater: ‘Shame On You’ https://t.co/JSJpxa5MEH via @dailycaller,2.0
quick recommend good movies/short tv shows to watch on a plane/on holiday https://t.co/QeZiqTbrEf,2.0
Romantic Movies Even Guys Will Enjoy : https://t.co/E20FJLAH3p,0.0
RT @PoliticusSarah: Looks like America has enough of Republican lies. https://t.co/NRyrIymUrP,0.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
My first stop animation movie. #stopanimation #fun #film #family #minecraft #toys #sunday #funday https://t.co/X4BUV2Y4Fr,2.0
"RT @justmanda72: @Rachael1918 @maudegarrett @KristianHarloff I agree. Dislike the movie, characters for whatever reason, fine. But, to drag…",2.0
"RT @SGTWOBBLE: Just finished watching Ronnie Coleman The King!!!!! Hands down one of the most inspiring, uplifting and Amazing movies. I wi…",4.0
Topless Babe in See Through Panties - spankbangorg  https://t.co/K2KZvIjKAp   candid real video porn gute sex movies pics of dog stuck in womans pussy fucking tits clips cid purvi boobs image satin thong bolly actress topless porn video,2.0
The kissing booth is such a cute funny movie....feels like I’m in hs hyping my best friend up to get the man she wants 😂😂😂😂😂😂,0.0
Some guy in the movies said keep taking care of yourself your beautiful 😂,0.0
"@Gotti_Film me and my friends @spacegirlgail and @GoodCopBabcock are trying to get a cinema in Glasgow, UK to open the movie. Can you help?",0.0
Keystone K25/K30 Capri - Vintage Camera Bookends - DVD Holder - Movie Theater Decor Best Gift https://t.co/r9CWE0JNYM https://t.co/B2MNt9s5EN,4.0
RT @wendyg317_: fuck wit this ❤️ https://t.co/U3IMrKONiY,2.0
RT @Fallen_Series: ~Atomised by Laura Welsh. From the #Fallen movie soundtrack (it's the song that was was playing during the pool scene).…,0.0
RT @DynamicSRK: . @iamsrk 1992 | 2018   From small screen star to WORLD’S BIGGEST MOVIE STAR. 🙏🙏🙏  #26GoldenYearsOfKingKhan https://t.co/Y2…,4.0
Keystone K26/K27 Capri Triple Turret - Vintage Camera Bookends - DVD Holder - Movie Theater Decor Just for you https://t.co/biulaBy7Yf https://t.co/FKLXhhw8rM,2.0
Movie🍿 https://t.co/DLdBQveULg,2.0
@Variety That’s great box office for a terrible movie!,4.0
RT @Sajed4SRK: ⏹️ From Nothing to everything   ⏹️ From Struggling Actor to World Biggest movie star  ⏹️ From 50₹ To 750$ M Net worth   SRK…,4.0
RT @MitchDarrell_: Lemme tell y’all bout the greatest movie of all time https://t.co/F7QA4gIZO3,2.0
RT @IamKingPromise: last night was a movie 💥💥💥😲😫 Thank You Germany !!!!💚💚,4.0
Movies + good food = relax day 😍🍛🥘🍪🍨🍫🥛🥤🍽🎬📺🛋🛀🏾🛌,4.0
"RT @meghantonjes: ALSO it’s “cool” to hate security. But, it’s 2018. People are killed at movie theaters, schools, walking down the street…",0.0
wwwDearSXcom - Slow And Teasing  https://t.co/b5WNi5RxX0   amateur  swolllow compilation teasing a boy tube rani mukharji sex and fucking all movies you tube slow penetration mov,0.0
“There’s no crying in baseball!” https://t.co/jYbuIyxgpO,4.0
