tweet_text,prediction
"@scontorno @AGPamBondi @KirbyWTweets @ABC #Florida #attorneygeneral #PamBondi \"Pam Bondi\" goes to see \"You Won't Be My Neighbor\" so outraged at \"Mr. Rogers movie\" is escorted out by #SS #StassiScum? #DrEd #EdWardMD https://t.co/VoiyfmnHbC    via @ABC #YouWontBeMyNeighbor https://t.co/B3sxUl2lWS",2.0
It's already fucking 3AM https://t.co/e9RmwXfVTX,0.0
"RT @NewTSage: Any cartoon or movie we grew up watching \"underrated\" on here https://t.co/w69gou4RM7",2.0
RT @svpercat: self care for introverts:  -good books -alone time -do nothing for one whole day -a tub of ice cream -alone time -wearing paj…,0.0
At last: the definitive proof Lynch's movies never made any sense. https://t.co/VEYnOfajfa,0.0
RT @MEL2AUSA: Impress your date by taking them to see .@DineshDSouza’s must see movie!!!   🇺🇸🇺🇸 DEATH OF A NATION 🇺🇸🇺🇸  💥💥💥💥August 3rd💥💥💥💥…,2.0
"RT @ragnarok: chris hemsworth looking like an absolute snack in the “12 Strong” movie, i’m in love https://t.co/n7GydWfDVf",4.0
"Popcorn, check. Dinosaur shirt, check. Dinosaur book, check. Dinosaur movie, about to start! #jurassicworld #jurassicworldfallenkingdom #chrispratt @ Carmike 7 https://t.co/RJSKnXVjsB",2.0
RT @TheMcBang: LMFAOOOO THIS IS WHAT HAPPENS WHEN YOU GROW UP WATCHING BOLLYWOOD MOVIES https://t.co/qqi5RVA7u0,2.0
RT @sakurabooty: JDNDKSK HELP HE LOOKS SO DIFFERENT BETWEEN THE TWO MOVIES https://t.co/ggmAZv2gcc,0.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
me listening to off to the races but always having the movie Lolita in the back of my mind https://t.co/3TfNCEtjhi,0.0
Sexy Bengali Girl Showing Herself In front of Camera  https://t.co/mjID8dXLAu   fucking maidenlike girls sex video hotsexvideo long giovanna  big ass advendure www cfnmshowing movie com  karnataka girls sexy big boobs movies htm,2.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
No problem with that. In fact it may force them to work on a better and new style of story without the added money towards effects and action to push the movie along. #starwars #BobaFett #lucasfilm #disney @Lucasfilm_Ltd @Disney https://t.co/pebHjf2UoH,2.0
@trappedinazorb @cadenmgardner It took me years to understand how big going to the movies on Christmas is for some people because it’s never been part of the holiday for me and my folks.,0.0
RT @KZXcellent: To be honest my problem with Joe's stance isn't him purposely avoiding every KH game before reviewing KH3.  It's the shitty…,0.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @TrekMovie: Happy birthday to Peter Weller, who was Terra Prime leader John Frederick Paxon on #StarTrek #Enterprise and Admiral Alexand…",4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
ROSE ADVENTURE | MOVIES | LATEST NOLLYWOOD MOVIES | FAMILY MOVIES https://t.co/bDu4CXJPCc https://t.co/rrIzcmFUgy,2.0
RT @captsoldier: best mcu movies ranked  15. you 14. can't 13. rank 12. them 11. because 10. those 9. all 8. are 7. diverse 6. and  5. all…,4.0
It's true and actually so stupid ugh https://t.co/AEEmzhb0IR,0.0
RT @ipriyanksharmaa: Working hard towards it 😇 https://t.co/HSC1xnJQdH,4.0
Remember the titans will forever be one of the best movies,4.0
RT @superdeluxe: Kelvin meets a movie star horse and completes his Mexico squad. https://t.co/rAMKlRsijw,4.0
"RT @TinkerxTwinkle: Wow that host was a prejudiced, ignorant RACIST but kudos to @TheMahiraKhan for holding herself back and displaying suc…",0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @abi_valera: Taare Zameen Par (Every boy is special) Wonderful movie! Aamir Khan is ❤ https://t.co/EnTis1KDu7,4.0
"RT @DCFilmsHub: '#TheFlash' Movie Set For '2020' Release \"If All Goes Well\" https://t.co/qqaVbiUPoL https://t.co/3SQI3n4Wg1",4.0
"@DFSP2 You´re right. It´s interesting that the movie is all that but people seemed to miss that and take only the tone (which isn´t even that dark IMO) and Martha. Completely misunderstanding that moment, scene and movie. Was it because the movie was too different from the \"standard\"?",0.0
RT @ScottVol3: James Cameron makes hella good movies 😩❤️🙏 https://t.co/YPvXtpk3ja,4.0
RT @therealmalcime: TELL ME HOW I WAS WATCHING THE MOVIE LOVE AND BASKETBALL AND WHEN THEY ABOUT TO DO IT I KEPT THINKING ABOUT KHADI AND H…,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @CurrenSy_Spitta: This Uber driver is clearly auditioning for the new “transporter” movie.... fuck man... I wanna say slow down but it’s…,0.0
RT @holdinontojiaer: they edited a movie scene out of the second scare prank from johnny to jackson...... boyyydhddhhs https://t.co/cB2JaM9…,2.0
Yayy https://t.co/9v9mkHzVbO,2.0
RT @braydinpaul: i wanna go to a drive in movie,2.0
"RT @DDayCobra: At this point, nothing surprises me when dealing with people connected to Lucasfilm.   This is mind-blowingly ignorant. They…",0.0
Best animation movie ever produced is MegaMind  dont @ me,4.0
RT @empyreall: yall only nasty on twitter. half of you niggas will sit through a subpar netflix movie for damn near two hours just cuddling…,2.0
RT @ChennaiTimesTOI: #Sarkar: @actorvijay ’s introductory song to be shot in Las Vegas https://t.co/UIjPUy6khL @ARMurugadoss @arrahman http…,0.0
RT @ChhappanChhori: India Is Changing.  Matured Movies Unveiled. #LustStories https://t.co/NOoFWn7hPk,4.0
RT @puneetsingh: Pio the antagonist for the next Jurassic Park movie https://t.co/GIN1T43uoz,2.0
This is why I buy all the Marvel movies a week after they come out from the nice Korean lady in my building ... https://t.co/0iRE3QqeQM,0.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
"RT @ragnarok: chris hemsworth looking like an absolute snack in the “12 Strong” movie, i’m in love https://t.co/n7GydWfDVf",4.0
RT @brokefemme: Me when my life flashes before my eyes while I'm about to die https://t.co/qWEseHrMPr,0.0
RT @DMajesticSam: Not just the biggest movie star but also a wonderful human being!! @iamsrk @SRKFCJaipur #26GoldenYearsOfKingKhan https://…,2.0
@Variety These movies are made for them.,4.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
RT @WhereIsKyra: • Nothing you worked for is working... #WhereisKyra? will be out on 3rd of July.  🎬 Pre-order: https://t.co/gWrPlYa325 🎬 P…,0.0
RT @JuddApatow: I need to take a @twitter break but let me say again— a family is responsible for this— The Murdochs.  They are not selling…,0.0
Its funny as hell. Why talk shit bout these tv shows and movies but yall still watch the shit 😂😂😂😂,0.0
RT @SarahFrightmare: Fede Alvarez Says Evil Dead 2 Will Probably Happen With The Right Story https://t.co/Qlzbjo2YyK,4.0
LMAOOO everyone was in that movie theater mad asf!!😂 https://t.co/wu3Axbn50v,2.0
RT @AbbyRob13499287: Loads of new sexy pictures and 4 new movies online now  https://t.co/5sblMhGxsH   It is worth to join in - now over 20…,4.0
@ibroxrocks That’s true. Actually if we just tweet that Gotti movie account they can probably make it happen,0.0
@DMurphyOfficial is included in this week's Shaun Berk's 10 Movie Recommendations at https://t.co/tDuvThHQRO,2.0
RT @TrickFreee: He spearheaded Citizens United and fought the disclosure of Anti-Clinton propaganda film donors  https://t.co/1ubkLe8Tt8,0.0
RT @captsoldier: best mcu movies ranked  15. you 14. can't 13. rank 12. them 11. because 10. those 9. all 8. are 7. diverse 6. and  5. all…,4.0
"Behind every good man there is a woman, and that woman was Martha Washington, man, and everyday George would come home, she would have a big fat bowl waiting for him, man, when he come in the door, man, she was a hip, hip, hip lady, man. https://t.co/SaXnGOnDJN",0.0
I liked a @YouTube video https://t.co/KygOFco57f ROSALINA IS BACK! - SML Movie: Jeffy's Switcheroo Reaction!,4.0
RT @slashfilm: What's Going on with the 'Star Wars' Spin-Off Movies? New Development Details Emerge https://t.co/lDamXuByG7 https://t.co/pc…,2.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
"Actually, I wish there was a tree by this bus stop! The one across the street got one why can't this side have one? Shade would be very nice. 🤣  At least I got a breeze; heyhey cloud. Yeah you I'm pointing at....can you block the sun til I get to the movies. 🤣",4.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
RT @WhyYouMentionMe: Had me thinking I was sitting in the wrong Movie 😐 https://t.co/m2mHVHMjWt,2.0
@milliesantorox Where can I find horny barmaid full and free😊 movie of yours?? Please send me a link 😊😊kiss 😘😘😘,0.0
RT @MsAmberPRiley: Why didn’t anyone warn me about that movie Coco 😩 I am embarrassed at how hard I cried watching a cartoon. 1) Mexican cu…,0.0
RT @AnneBillson: Ten years since I wrote this piece about horror movies. (The last line is a heartbreaker.) https://t.co/mxTg0MUPcA,4.0
"RT @SolanoSheriff: Jurassic World Movie Star visits Solano County, Vacaville.  Tonight, actor Chris Pratt came out to give support for Sola…",2.0
RT @MarkDice: So actor Peter Fonda (@IAmFonda) calls for Trump’s 12 year old son to be raped by pedophiles and @SonyPictures is still relea…,0.0
Bet love Tyler Perry movies..,4.0
@promisingcatie i had a really big crush on him when i watched this movie hes so cute,2.0
@rag_sec This should help you out! https://t.co/lFHYYrVkuU,0.0
Tyler Perry movies are all alike 😴 https://t.co/4y69ZvqklL,4.0
"RT @javhdphotos: Caribbeancom 061618-687 (Uncensored) ✨Download full movie 1,4gb✨ 👉https://t.co/A4PM9D6pD0 https://t.co/d60CyXbXPt",2.0
"“we’re dead, we’re dead, we survived, but we’re dead”  -dash, the incredibles https://t.co/7szJESs3Vv",4.0
and cdrama and thai movies 😆 https://t.co/o7vhrNMfk1,0.0
@MoviePass_CS you having problems with the app? I'm seeing movies populated (available) at theater that I've already seen.,4.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
The only good logical thing in this movie is the start with Goldblum.,0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"RT @Rasyidharry: \"ISLE OF DOGS\" Simple yet meaningful story laid on a solid world-building background, painted with Anderson's rich visual…",0.0
Different drummers  Equilibrium Daddy's little girls https://t.co/RmQgJjwhgg,0.0
"RT @rathi_saurav: Just watched #October I am in loss of words!! Have not seen many Hindi movies which is so simple, so real.. Congrats @Ban…",0.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"@alan_wardlaw Totally agree, followed by a kebab on the way up the road with your favourite Snuff movie and a can of monster!  Perfect evening",2.0
"RT @BIYONDHAPPY: Kim Hanbin 😭❤️ So much meaning~ The movie (The Truman Show) lines: \"Good morning, and in case I dont see ya, good afternoo…",4.0
bbw dirty camgirl @ beautifuldirtyangelscom  https://t.co/EJrmX2W7rS   http://www juvmovies com/saxi ass moviz beg htm Mslutload free mobile amateur sa durban porn gay chubby asian movie girl doing fuck with her father dailymotion brother sister,2.0
"RT @shawndadarice1: Hell yeah, last night was BEAUTIFUL!!!  Idk about the East coast yet, but our next scrng is likely to be down in Hollyw…",4.0
RT @_Newtmasangster: @laaura2102 @OttersHedgehog It upsets me sm how some people are blinded by their hatred of Teresa so they don't see th…,0.0
@DisneyChannel This movie is going to be good #DisneyFreakyFriday,2.0
@FreddyInSpace @cameraviscera Oh yeah because comparing a murderous psychopath to fans who critique shitty movies is REALLY accurate.,0.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
"RT @myhalbig123: Currently at a movie theatre in Aurora, Colorado. #sketchy 😬",2.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
RT @RXMANSPHOENIX: asian female lead. female director. a movie adaptation of a YA book that actually looks like it’s gonna be good?! I’m he…,4.0
Male to anal gay porn movie Jeremiah &amp;amp_ Shane - Undie Shoot by  https://t.co/MFospxio9g   dads vs twinks movies dadtwinks hotgaypornlist com gay amateurs tumblr gay-trimmed gay jocks tube african free gay masturbation,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
FUCK YES!!!!!!  It better be at least 4 hours long. https://t.co/znEwPVKmCP,4.0
"Things i love my dreams are bcs theyre like a fiction movie from the start to the end. But this one i just got. Its pretty scary, its like a horror movie. Nak balik hm tak nak duduk kolej",4.0
"RT @Svetlana555K3: The King of Bollywood, the King of Hearts, the world biggest movie star, the most talented &amp; versatile ACTOR, the most a…",2.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
"New Joker Movies, Wonder Woman 2, Aquaman https://t.co/Al1FGLU9J5 via @YouTube",2.0
"RT @sterlingquill: Look, @nbc. I’m not gonna lie. A movie isn’t ideal. I’d rather #SaveTimeless and get ten more seasons of this wonderful…",0.0
watching movies 🙂,4.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
RT @MsAmberPRiley: Why didn’t anyone warn me about that movie Coco 😩 I am embarrassed at how hard I cried watching a cartoon. 1) Mexican cu…,0.0
RT @hanxine: A non shitty teen movie? With an Asian female lead? I stan https://t.co/b5f7vnMhuo,2.0
Saving seats at a movie theater sucks ass,0.0
Remember the Titans is such a good movie,4.0
So happy this movie did well. RT @screenrant: #JurassicWorldFallenKingdom just roared past $700 million at the worldwide box office.  https://t.co/qSsYUPYoVT https://t.co/ZviS4jbJ2K,4.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
"RT @DineshDSouza: I can promise you the same with the new movie “Death of a Nation,” out in 1,000 theaters nationwide on August 3 https://t…",2.0
RT @astran_r94: I ain’t tripping if someone scoops me to go watch the new dinosaur movie 🙇🏻‍♂️🙇🏻‍♂️,2.0
why are my dad and tayya abu watching this shitty pakistani movie,2.0
"YOU DECIDE WHAT BEAUTY IS  Just be whatever God made you. Get comfortable with it and be the best, happiest person you can be  Ignore those idiots that print magazines, make movies, and do TV commercials. I don't trust their opinions on ANYTHING, especially politics and beauty!",0.0
RT @jav_clip: Lovable cutie gapes narrow crack and gets deflorated  Watch Full Movies ==&gt; https://t.co/gefq7wppSi https://t.co/tU5JgPNsMb,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"So did the summer movie season peak this weekend with JURASSIC WORLD 2? Not so fast. If you listen carefully, you can hear a big sound coming from a tiny little man. ANT-MAN that is, &amp; this time he's brought a friend known as The Wasp. Their message? The box office derby ain't ov",0.0
"@friendly_roach My advice is that when you are reading a book or watching a movie, pay attention to what you like (or dislike) about it, and try to figure out why.  Also, don't be afraid to steal what works. It works for a reason.",0.0
True https://t.co/pb1KylZHdr,2.0
Nothing worse than half way through a movie realizing the audio is just sliiiiightly off,4.0
"RT @FilmStruck: Stream movies that celebrate LGBTQ cinema along with hundreds of Hollywood classics, indie, arthouse and foreign films.",0.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
@DaveBautista Huge fan of you Dave. This policy has been around since Clinton and enforced all the way through Obama. Trump stopped it and we still need stronger border security. Cant wait to see your new movie.,2.0
RT @hannahydavies: Petition for Universal Studios to build Spooky Island from the Scooby Doo movie https://t.co/9gCeEJtkZg,2.0
RT @Man_isssh: Watching dubbed movies be like https://t.co/4pvnL7mlUU,4.0
RT @incorrectnini: tony: is barnes mute or smth  steve: no he only gets 2 lines per movie and he doesnt wanna waste any of them  tony:  ton…,2.0
"RT @SonofRascus: Adm. Yamamoto said in the Pearl Harbor movie \"Tora,Tora\", \"All we have done is awaken a sleeping giant\". This quote may ap…",2.0
Army men gay sex video and college hunk teen man xxx Dungeon sir with  https://t.co/aPvdNW1mbU   Free download Beaux gay 18 fuck 3gp gaysexmasaj drunk sleeping gay blowjob bollywood gay sex in hd free gay cumshot gay public toilet streaming movie,2.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
