tweet_text,prediction
RT @ActionBronson: I REALLY SHAVED THE BEARD OFF FOR THIS NEW MOVIE IM DOING WITH JACKIE CHAN. DON’T TELL NOBODY.,2.0
RT @BeingSalmanKhan: I thank every 1 who has gone to see #Race3 in the theaters n each n every 1 individually for watching race n glad that…,2.0
Seeing a movie with your preschool-aged nephew is a whole ‘nother OTHER level of joy you never knew could exist. #jurrassicpark #SOHAPPY,0.0
Two things I have trouble wrapping my head around.  “Cosmic Time” and “How a movie can cost $500M”. @RealRonHoward @MNightShyamalan  @MoviesWrld @RegalMovies @neiltyson,0.0
Predator 2 [1990] Movie Review https://t.co/ApmG9Ww1Eh,2.0
"RT @TonyKrvaric: From the self-anointed champions of tolerance and diversity. Not to mention \"empowering women.\" #moderndemocrats https://t…",0.0
RT @iamsrk_brk: 26 Years of World's Biggest Movie Star. 26 Years of World's Richest Actor. 26 Years of World's Greatest Actor. 26 Years of…,4.0
"RT @ManaByte: I want a movie with Spider-Man, Falcon, and Bucky. Like Three Amigos in the MCU.",0.0
I yelled goddamn she thick in the movie theater when @rihanna came out in that dress 😂😂😂😂,0.0
RT @zachbraff: A teenager asked me for some good movies a teenager should see. Here’s my list: https://t.co/ZChYLkhTYJ,0.0
"Immunotherapy has been advancing so much in recent years that they’ve even started using it for Huntington’s disease treatments, AND REAPING POSITIVE RESULTS. This is huge. https://t.co/hqLqb6Rnkj",0.0
Why tho... https://t.co/HKSA59Lw5X,0.0
"RT @h_hazra: Be it trailer, music, supporting cast, director.. Everything was bad about Race3, yet your fans went and watch the movie only…",2.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
RT @hallejordannnn: I really really want to go to a drive in movie,4.0
"RT @ItsTheRealBizZ: If He pay RENT, you paying utilities If He wash dishes, you cooking If He pay for movies, you buying snacks If He give…",4.0
"RT @BookerT5x: Myself &amp; @bradgilmore talk about #Vader, #BigCass, a response recent criticism, @stipemiocic v. @dc_mma, and where does #Cre…",2.0
