tweet_text,prediction
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
RT @HickeyDevon: I'd love to see what a 3-hour original cut of #JusticeLeague would have looked like. #ReleaseTheSnyderCut https://t.co/kUB…,4.0
RT @Joy105com: MAJOR News!!! 💎💎It will be one of the hottest🔥 venues in Philly!!! It will house all types of events from 🎟LIVE Nation conce…,4.0
@DineshDSouza He is a filthy disgusting POS convicted criminal belong in jail not making movies or documentary,0.0
RT @HannsOsegueda: @GenerationIron  Almost there Can't wait to start watching the movie of  THE KING @BigRonColeman  #YeahBuddy https://t.c…,2.0
RT @larbingzendaya: Mackie: I haven't see Spider-Man Homecoming Holland: Well I haven't see Falcon movie oh wait there isn't one  DAYUM htt…,2.0
RT @gothsloki: fuck my ratio i want new mutuals gain tweet! so rt if you stan  - the whole mcu - tom hiddleston - loki - tom oohwooh hiddle…,4.0
Tag yourself: I'm DCEU movies coming and going cause they lack impact and interest,0.0
RT @ambstz: Overheard a kid asking his mom why they were watching Incredibles 2 when he hasn’t even seen the first movie yet and she really…,4.0
RT @HarperDaphneZ: Take out the samsung logo sa director's cut version parang movie teaser #dafBAMA2018Nadine,2.0
"Just love their \"peace and tolerance\". They're nothing but hypocrites. @MaxineWaters supports this lunacy but I'm not surprised https://t.co/hVwDr3Xid5",0.0
"RT @RealCandaceO: If you were outraged over Roseanne tweeting that Valerie Jarrett looks like a monkey, but are okay with the fact that @So…",0.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
This #HeartsBeatLoud was great movie! This is the best this year! https://t.co/s8jORkeV7q,4.0
Seeing a movie with your preschool-aged nephew is whole ‘nother OTHER level of joy you never knew could exist. #jurrassicpark #SOHAPPY,0.0
"I've always said. One day, the poor will have nothing to eat but the rich #NTVPanorama https://t.co/uh7khENRqm",4.0
RT @UnknownKongYT: i just remembered this chinese bootleg dvd of the simpsons movie with the greatest dvd menu of all time and i can't stop…,2.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
RT @DreamsDarkly: CLASSIC title. CLASSIC movie. Told my wife I want a shirt of this flick. https://t.co/3QnKfsZJNv,4.0
"@Thomas1774Paine If this keeps up, I’ll never be able to watch another movie. Ever. Or tv show. I can only boycott so much, can’t i?",0.0
@B_Real Just laying here watching a movie,2.0
My guy. I’m exactly the same.. i’ve had to reheat my food plenty of times becasue its got cold whilst trying to find a show / film https://t.co/TzGDYnyAa5,4.0
"@MiraSorvino @MSNBC No wonder no one wants you in movies. Your ideology is not only wrong, but purely stupid!",0.0
