tweet_text,prediction
I been there. https://t.co/dut3ksspKS,2.0
please recommend me movies &amp; tv shows for my 6 hour flight!!!!!,0.0
RT @uhnet: @SpenceNicholson @jenyamato @mattzollerseitz This movie made me feel such incredible sadness for our world.,0.0
RT @lexthetrapgod: today is definitely a lifetime movie kinda day,0.0
"RT @thinkprogress: Activists confront Florida attorney general at Mr. Rogers movie, ask what he’d think of her values https://t.co/fegtclvV…",2.0
RT @nerdist: Our 13 favorite Han/Leia shipping moments from every #StarWars movie. https://t.co/X9ynDKr2Ud https://t.co/DxKIbu1a1g,2.0
RT @MollyOglesbee: Don’t get me wrong I like to get hammered as well as the next guy does but if you say movie night and pjs while eating j…,0.0
RT @thyxvoid: best mcu films ranked   15. it's hard 14. to rank 13. movies from 12. the same franchise  11. from best to 10. worst as 9. ea…,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @BlissTabitha: AWFUL. Florida GOP Attorney General Pam Bondi Needs Police Escort to Protect Her from SCREAMING HECKLERS at Movie Theater…,2.0
RT @HenryCavillNews: “Look who joined us for the movie!” Christina and her husband just met Henry in FL https://t.co/zaiRxl8mtG https://t.c…,2.0
"I’m like a year late, but Coco is a phenomenal movie.",4.0
"@TembaMliswa @edmnangagwa T3mba.. That ws no bomb.. It cld neva assassinate any human being.. If u wana relate to serious assassins, they'd use a lethal ammunition.. Not thiz silly make up stories u wana entice us to buy..bottom line is.. It ws a drafted mini movie. Msade kutinzwa",0.0
I think there are better examples than him of how to cope with mental illness by making art https://t.co/B1W1uJtA4J,4.0
"RT @PKsbpdl: When you understand \"Apocalypto\" is Mel Gibson's best movie, you'll understand the reality of European supremacy and the power…",4.0
definitely &amp; desperately need a friend w the same personality as chris tucker in the rush hour movies,4.0
"RT @RealSaavedra: Left-Wing Activists Harass Florida AG Pam Bondi At Movie Theater, Spit On Her https://t.co/2rpR6DLHds",2.0
AWFUL. Florida GOP Attorney General Pam Bondi Needs Police Escort to Protect Her from SCREAMING HECKLERS at Movie Theater (Video) https://t.co/P7MgMI9Eno via @gatewaypundit,2.0
"PHISHING ALERT! I'm seeing a number of shared posts along the lines of \"pick your movie title based on your birth month, day, and last number of the year\", or similar. This is a really good way for someone to... https://t.co/9uVS1Gincr",0.0
RT @WarpsiwaJAV: VOSS-083 Hamasaki Mao 🔞 #วาร์ปสิวะ #JAV 🎬 Full Movie https://t.co/2cMyCP8ErC https://t.co/FWG4Kh0zaC,2.0
RT @AshGotThis: She smashed his hammer in the first 30 seconds like damn bitch it’s whole movie left can you relax https://t.co/kMceUOVz9M,4.0
Babe and I are dead watching our childhood movies 😍🤗,4.0
RT @dracomallfoys: white dad in a horror movie: i need to buy a gift for my daughter before we move into our new house that i got at an ins…,4.0
