tweet_text,prediction
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
"RT @hickorymtnman: YOU DECIDE WHAT BEAUTY IS  Just be whatever God made you. Get comfortable with it and be the best, happiest person you c…",4.0
RT @nerdist: Our 13 favorite Han/Leia shipping moments from every #StarWars movie. https://t.co/X9ynDKr2Ud https://t.co/DxKIbu1a1g,2.0
Jets Movie Night announced for MetLife Stadium in July https://t.co/bK6P44tZbC #NewYorkJets #MetLifeStadium #AntMan #Marvel https://t.co/LDlPbHoK9R,2.0
Get ye authentic hand autographed ‘Frankenflipty’ movie poster today from 3pm-7pm at Orville Reddenbachers house where a special North American premiere of ‘Frankenflipty’ will be shown. The drinking &amp; festivities are subject te Vip’s only however I reckon.. https://t.co/zoxhIm69B0,0.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
RT @StheBee: Thread of @StheBee : https://t.co/TyfP8gFuy0,2.0
@rainingblake watch the first halloween movie from the 70's/80's xx,2.0
RT @actor_jayamravi: Thank uuuuu Akka 🙏🏼❤️ https://t.co/O4m0uP4hKv,2.0
RT @superspicy96: Tom: it’s really cool I wish they let be in the movie Mackie: I need to watch this movie Tom: have you seen spiderman hom…,0.0
@bmcdev @EdventureTime Such a great movie,4.0
"RT @saminaUFshaikh: As much as I love @BeingSalmanKhan crazily, I don’t want him to compromise on scripts for his upcoming movies. A strong…",4.0
One of the best movies I’ve ever seen https://t.co/mBPcbB3Ljc,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"@eblittlehill @lisamartin45TN @RedHenDC @PressSec @RedHenLex So \"tolerant\" you get off on it when women are called \"cunt\" on TV and are badgered out of restaurants and movie theaters.  You need to take a good, long, fucking look at yourselves.",0.0
Regina Hall was the queen of the Scary Movie and once she left it wasn’t funny anymore https://t.co/cnlbaFbT8Z,2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
@heroichollywood This just shows the rush job @wbpictures did just to get this butchered movie out &amp; cash in. No thought or regard for the paying supporters of these movies. #JusticeLeague is one of the most expensive movies ever made but it doesn’t look like it! Please #ReleaseTheSnyderCut,0.0
Do you want to fuck my WIFE??? #part 2  https://t.co/vekKnXHa7e   nude hardcore movie sunny leone youtube gerls japan vs negro man photos porn armenian amateur homemade sex video analsex japanwife dirty teen atm shit www pornoitalian pic of menst,2.0
RT @WonderWaugh79: How can anyone watch this movie and not cry? #coco https://t.co/sn1SHWQTJ1,2.0
Keystone K8/K36 - Vintage 8mm Camera Bookends - DVD Holder - Movie Theater Decor Small Shop https://t.co/zbvd6E35tF https://t.co/LnnAJS5iAh,2.0
"RT @IndieWire: #Sicario2 scribe Taylor Sheridan on writing screenplays: “When I write a movie, I write it for me. I let characters be human…",0.0
RT @CAPTAlNERD: Tell me again how can you not be excited for this movie!!!! https://t.co/DNGlvopS9y,0.0
@actor_jayamravi Me &amp; my friends to liked the movie very much 👍👍  #TikTikTik,4.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
here's the link if u wanna read the interview https://t.co/RkmQU10WNw,0.0
"American Hero, Movie Theme https://t.co/lwN0vQzP53",2.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
RT @OfficialAdil8: -More Then 200+Awards  -8 Filmfare Awards (Highest) -Most No Of Blockbusters in Overseas -Actor With Most No Of Honours…,0.0
RT @captsoldier: best mcu movies ranked  15. you 14. can't 13. rank 12. them 11. because 10. those 9. all 8. are 7. diverse 6. and  5. all…,4.0
"When you watch \"Lord of the Ring\" only because of Aragorn. Anyone else thinks Frodo is annoying as hell after watching the movies a few times?",4.0
RT @JuddApatow: I need to take a @twitter break but let me say again— a family is responsible for this— The Murdochs.  They are not selling…,0.0
Finna go hoop and achieve ultra instinct on these WEAK ASS NIGGAS then go home and watch the broly movies faded 👌👌👌,0.0
"RT @existentialcoms: The real sign of a shit movie is when you walk out of the theatre and are like \"that was good\", but then three hours l…",0.0
"RT @ChiggityChives: The Devil works hard, but Tom Holland works harder. https://t.co/otv594l9bT",4.0
@WilmaJazz oh yes lot.  I adore thor. I love iron man hulk. But captain america no.  I love spiderman ( the old movies,0.0
"RT @Shakubhat: #26GoldenYearsOfKingKhan it's been a pleasure and immense happiness from the day i saw my first ever movie of @iamsrk, since…",0.0
@kiticchi Do a live tweeting about the movie so it is almost like watching with friends.,4.0
