tweet_text,prediction
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
"Forgot to mention this, but I NEEDED that one EP to be able to make the movie like I wanted to. After that, I had to make an Origin account (I think) in order to report the problem. I thought it would be quick, but I was wrong",0.0
https://t.co/vPTTg3xSaI Porno Casting XXX vidio XXX sex movies XXX hardcore videos Salopes Sex Jade Laroche XXX Video NackedPorn Sex grup sex Adeline Lange XXX Video turkish porn Brazzers Video Actrice Porno XXX,4.0
"RT @_JackN4Tweetz_: If you sneak in the movies and get caught, they kick you out. If you sneak on someone's property, you get arrested for…",0.0
RT @Joy105com: MAJOR News!!! 💎💎It will be one of the hottest🔥 venues in Philly!!! It will house all types of events from 🎟LIVE Nation conce…,4.0
"RT @Shoq: As a Jew with my own Aushwitz-to-Buchenwald family stories to tell, I don't need your teaparty concern trolling sliming-up my tim…",2.0
"RT @PrisonPlanet: Twitter banned Milo for life for making fun of a movie, while Peter Fonda still has an account after encouraging the rape…",2.0
Basically 😂 https://t.co/Z2nzqa5C6A,2.0
"RT @tammygus: @MoviePass Nothing today. But I saw American Animals yesterday, and Gotti on Friday. Best movies I’ve seen in quite a while.…",4.0
RT @redsteeze: Oh weird and not a single protest found it's way to his front lawn and he wasn't chased out of a single restaurant or movie…,0.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @18_Fallen_: This is hot bro https://t.co/7ErmMeldq5,4.0
@KeerthyOfficial sister from the beginning to the end unga performance ku chance eh illa. Ovoru scenes pakumbothum therith neenga act mattum pannala savitri amma vave valnthurukinganu. After watching the movie my Mom said that no one Can't complete this character with out You..😍 https://t.co/quKMMhgupa,4.0
so who’s trying to be my movie date???🤷‍♂️ https://t.co/jHmpZRcVvb,2.0
"RT @bbusa617: ALL TRUMP SUPPORTERS !!  DINESH D'SOUZA AND \"D'SOUZA MEDIA LLC\" RELEASING THE MOVIE ...  \"DEATH OF A NATION\" On Aug 3rd, 2018…",4.0
should I go see a Dutch movie that looks like a Game of Thrones ripoff about this guy https://t.co/p6BPmCqSCt,0.0
@bgItchyIer absolutely! but the overwhelming majority of bi relationships in tv/movies are between a man and a woman and that's not equally representative of bi people who date more than one gender,0.0
RT @RayBradway: Man I bought Ronnie Coleman’s movie and watched it...I about teared up. You’re the best to ever do it Ron. #YeahBuddy 🤘🏼🥜…,0.0
I want to watch you suck cock and get fucked  https://t.co/6lCojT7JXq   micro penis humiliation bdsm puppy girl shehmale fetish movie free porn kaviar femdom mobilebisexualtube www phornado com Desibabisex com htm forced big cock,2.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
"RT @BIYONDHAPPY: Kim Hanbin 😭❤️ So much meaning~ The movie (The Truman Show) lines: \"Good morning, and in case I dont see ya, good afternoo…",4.0
RT @J_sutherland23: IF YALL WANNA WATCH SOME SCARY MOVIES ON NETFLIX HERE YOU GO!!!!!!!!,2.0
"RT @MbaliMkh_: As my man you should know I enjoy kissing so much. Baby kisses, slow kissing, passionate kissing, kiss me when you stand up…",0.0
RT @HannahBrooks25: Cracking result for @England today 😃 Celebrate by signing up to my XXX rated onlyfans account here ➡️ https://t.co/s7Sj…,0.0
RT @clacesfatebckup: Just found out @Kat_McNamara actually filmed a movie in my country a few years ago and here I thought she didn't even…,0.0
"@thehill I guess she never watched the movie, \"Waiting.\"",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
@jkookliar Whats the movie he was watching?,2.0
I know I'm late but Pompeii is an epic (disaster) movie,4.0
https://t.co/TTFWZZDBa6  lover lesb hot mom very face sitting mexican xxx movies bbw teen webcam german goo girls streaming porn video cumshots pregnancy xxx free lesbian perfect gonzo sex girls sex new sex asian 3some euro babe facials germany,4.0
Bruce Lee movies all day,0.0
Watching a movie tonight... witch one,2.0
"Melon chart as at 4am kst  Only One For Me - #9 (⬇️5) The Feeling - #28 (⬆1) Missing You - #30 (⬆1) Blue Moon - #32 (⬆️1) Call Me - #34 (⬆️1) Yeah - #35 (⬆️1) 1, 2, 3 - #36 (⬆️1) IceBreaker - #37 (⬆️2) Movie - #45 (⬆️4)",2.0
RT @Pornhub: Pornhub: Where every movie has a happy ending,4.0
RT @nerdycurious: .@TomHolland1996 reveals new Spiderman movie title.  #ACEComicCon #NCatACE https://t.co/QAlR92meNa,2.0
RT @iSRKsSoul: i truly believe....bollywood would've never been moved on from action drama movies with lots of dummy fake ass machismo.. if…,4.0
All Good Things 2010 Watch full movie online here https://t.co/oKGF1nUB92 #allgoodthings #crime #drama #mystery #romance #thriller https://t.co/Kp2STIwVvi,2.0
